[2023-08-27 23:42:04] PRINT cuda
[2023-08-27 23:42:04] PRINT {'lr': 0.00014065723454511006, 'momentum': 0.13646643115678486, 'batch_size': 8}
[2023-08-27 23:42:05] PRINT Files already downloaded and verified
[2023-08-27 23:42:06] PRINT Files already downloaded and verified
[2023-08-27 23:43:09] PRINT [1,  2000] loss: 2.304
[2023-08-27 23:44:06] PRINT [1,  4000] loss: 2.303
[2023-08-27 23:45:03] PRINT [1,  6000] loss: 2.304
[2023-08-27 23:46:08] PRINT [2,  2000] loss: 2.303
[2023-08-27 23:47:05] PRINT [2,  4000] loss: 2.303
[2023-08-27 23:48:02] PRINT [2,  6000] loss: 2.302
[2023-08-27 23:49:09] PRINT [3,  2000] loss: 2.302
[2023-08-27 23:50:08] PRINT [3,  4000] loss: 2.302
[2023-08-27 23:51:08] PRINT [3,  6000] loss: 2.301
[2023-08-27 23:52:17] PRINT [4,  2000] loss: 2.301
[2023-08-27 23:53:17] PRINT [4,  4000] loss: 2.301
[2023-08-27 23:54:17] PRINT [4,  6000] loss: 2.301
[2023-08-27 23:55:25] PRINT [5,  2000] loss: 2.300
[2023-08-27 23:56:20] PRINT [5,  4000] loss: 2.299
[2023-08-27 23:57:17] PRINT [5,  6000] loss: 2.300
[2023-08-27 23:58:24] PRINT [6,  2000] loss: 2.299
[2023-08-27 23:59:21] PRINT [6,  4000] loss: 2.298
[2023-08-28 00:00:17] PRINT [6,  6000] loss: 2.298
[2023-08-28 00:01:24] PRINT [7,  2000] loss: 2.297
[2023-08-28 00:02:22] PRINT [7,  4000] loss: 2.296
[2023-08-28 00:03:19] PRINT [7,  6000] loss: 2.295
[2023-08-28 00:04:26] PRINT [8,  2000] loss: 2.293
[2023-08-28 00:05:24] PRINT [8,  4000] loss: 2.292
[2023-08-28 00:06:20] PRINT [8,  6000] loss: 2.291
[2023-08-28 00:07:27] PRINT [9,  2000] loss: 2.289
[2023-08-28 00:08:24] PRINT [9,  4000] loss: 2.285
[2023-08-28 00:09:20] PRINT [9,  6000] loss: 2.282
[2023-08-28 00:10:26] PRINT [10,  2000] loss: 2.277
[2023-08-28 00:11:24] PRINT [10,  4000] loss: 2.272
[2023-08-28 00:12:20] PRINT [10,  6000] loss: 2.266
[2023-08-28 00:13:28] PRINT [11,  2000] loss: 2.254
[2023-08-28 00:14:25] PRINT [11,  4000] loss: 2.242
[2023-08-28 00:15:21] PRINT [11,  6000] loss: 2.226
[2023-08-28 00:16:27] PRINT [12,  2000] loss: 2.202
[2023-08-28 00:17:25] PRINT [12,  4000] loss: 2.179
[2023-08-28 00:18:21] PRINT [12,  6000] loss: 2.158
[2023-08-28 00:19:27] PRINT [13,  2000] loss: 2.134
[2023-08-28 00:20:25] PRINT [13,  4000] loss: 2.105
[2023-08-28 00:21:21] PRINT [13,  6000] loss: 2.091
[2023-08-28 00:22:27] PRINT [14,  2000] loss: 2.071
[2023-08-28 00:23:25] PRINT [14,  4000] loss: 2.051
[2023-08-28 00:24:21] PRINT [14,  6000] loss: 2.025
[2023-08-28 00:25:28] PRINT [15,  2000] loss: 2.014
[2023-08-28 00:26:26] PRINT [15,  4000] loss: 1.998
[2023-08-28 00:27:21] PRINT [15,  6000] loss: 1.987
[2023-08-28 00:28:27] PRINT [16,  2000] loss: 1.972
[2023-08-28 00:29:24] PRINT [16,  4000] loss: 1.962
[2023-08-28 00:30:21] PRINT [16,  6000] loss: 1.955
[2023-08-28 00:31:28] PRINT [17,  2000] loss: 1.941
[2023-08-28 00:32:25] PRINT [17,  4000] loss: 1.932
[2023-08-28 00:33:23] PRINT [17,  6000] loss: 1.927
[2023-08-28 00:34:29] PRINT [18,  2000] loss: 1.918
[2023-08-28 00:35:27] PRINT [18,  4000] loss: 1.909
[2023-08-28 00:36:23] PRINT [18,  6000] loss: 1.896
[2023-08-28 00:37:28] PRINT [19,  2000] loss: 1.889
[2023-08-28 00:38:26] PRINT [19,  4000] loss: 1.873
[2023-08-28 00:39:24] PRINT [19,  6000] loss: 1.875
[2023-08-28 00:40:31] PRINT [20,  2000] loss: 1.859
[2023-08-28 00:41:29] PRINT [20,  4000] loss: 1.852
[2023-08-28 00:42:27] PRINT [20,  6000] loss: 1.842
[2023-08-28 00:42:35] PRINT Finished Training
[2023-08-28 00:42:36] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:42:36] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-28 00:43:14] PRINT Accuracy of the network on the 10000 test images: 33 %
[2023-08-28 00:43:52] PRINT Accuracy for class: plane is 47.0 %
[2023-08-28 00:43:52] PRINT Accuracy for class: car   is 44.4 %
[2023-08-28 00:43:52] PRINT Accuracy for class: bird  is 6.5 %
[2023-08-28 00:43:52] PRINT Accuracy for class: cat   is 10.2 %
[2023-08-28 00:43:52] PRINT Accuracy for class: deer  is 14.4 %
[2023-08-28 00:43:52] PRINT Accuracy for class: dog   is 35.9 %
[2023-08-28 00:43:52] PRINT Accuracy for class: frog  is 62.5 %
[2023-08-28 00:43:52] PRINT Accuracy for class: horse is 38.3 %
[2023-08-28 00:43:52] PRINT Accuracy for class: ship  is 40.8 %
[2023-08-28 00:43:52] PRINT Accuracy for class: truck is 34.9 %
