[2023-08-28 00:35:55] PRINT cuda
[2023-08-28 00:35:55] PRINT {'lr': 0.0004756279540256481, 'momentum': 0.09441493483368707, 'batch_size': 8}
[2023-08-28 00:35:55] PRINT Files already downloaded and verified
[2023-08-28 00:35:57] PRINT Files already downloaded and verified
[2023-08-28 00:36:58] PRINT [1,  2000] loss: 2.304
[2023-08-28 00:37:55] PRINT [1,  4000] loss: 2.304
[2023-08-28 00:38:54] PRINT [1,  6000] loss: 2.303
[2023-08-28 00:40:01] PRINT [2,  2000] loss: 2.302
[2023-08-28 00:40:58] PRINT [2,  4000] loss: 2.302
[2023-08-28 00:41:56] PRINT [2,  6000] loss: 2.301
[2023-08-28 00:43:03] PRINT [3,  2000] loss: 2.300
[2023-08-28 00:43:59] PRINT [3,  4000] loss: 2.300
[2023-08-28 00:44:58] PRINT [3,  6000] loss: 2.298
[2023-08-28 00:46:07] PRINT [4,  2000] loss: 2.297
[2023-08-28 00:47:05] PRINT [4,  4000] loss: 2.294
[2023-08-28 00:48:05] PRINT [4,  6000] loss: 2.290
[2023-08-28 00:49:13] PRINT [5,  2000] loss: 2.282
[2023-08-28 00:50:12] PRINT [5,  4000] loss: 2.265
[2023-08-28 00:51:09] PRINT [5,  6000] loss: 2.243
[2023-08-28 00:52:16] PRINT [6,  2000] loss: 2.197
[2023-08-28 00:53:14] PRINT [6,  4000] loss: 2.152
[2023-08-28 00:54:13] PRINT [6,  6000] loss: 2.095
[2023-08-28 00:55:18] PRINT [7,  2000] loss: 2.040
[2023-08-28 00:56:14] PRINT [7,  4000] loss: 2.010
[2023-08-28 00:57:10] PRINT [7,  6000] loss: 1.988
[2023-08-28 00:58:08] PRINT [8,  2000] loss: 1.966
[2023-08-28 00:59:02] PRINT [8,  4000] loss: 1.922
[2023-08-28 00:59:58] PRINT [8,  6000] loss: 1.901
[2023-08-28 01:01:05] PRINT [9,  2000] loss: 1.870
[2023-08-28 01:02:01] PRINT [9,  4000] loss: 1.842
[2023-08-28 01:02:57] PRINT [9,  6000] loss: 1.827
[2023-08-28 01:04:02] PRINT [10,  2000] loss: 1.794
[2023-08-28 01:05:00] PRINT [10,  4000] loss: 1.784
[2023-08-28 01:05:58] PRINT [10,  6000] loss: 1.757
[2023-08-28 01:07:05] PRINT [11,  2000] loss: 1.739
[2023-08-28 01:08:02] PRINT [11,  4000] loss: 1.705
[2023-08-28 01:08:59] PRINT [11,  6000] loss: 1.704
[2023-08-28 01:10:05] PRINT [12,  2000] loss: 1.672
[2023-08-28 01:11:02] PRINT [12,  4000] loss: 1.655
[2023-08-28 01:11:58] PRINT [12,  6000] loss: 1.637
[2023-08-28 01:13:04] PRINT [13,  2000] loss: 1.616
[2023-08-28 01:14:00] PRINT [13,  4000] loss: 1.607
[2023-08-28 01:14:57] PRINT [13,  6000] loss: 1.594
[2023-08-28 01:16:02] PRINT [14,  2000] loss: 1.575
[2023-08-28 01:16:58] PRINT [14,  4000] loss: 1.578
[2023-08-28 01:17:56] PRINT [14,  6000] loss: 1.555
[2023-08-28 01:19:01] PRINT [15,  2000] loss: 1.554
[2023-08-28 01:19:57] PRINT [15,  4000] loss: 1.528
[2023-08-28 01:20:53] PRINT [15,  6000] loss: 1.532
[2023-08-28 01:21:59] PRINT [16,  2000] loss: 1.515
[2023-08-28 01:22:55] PRINT [16,  4000] loss: 1.509
[2023-08-28 01:23:52] PRINT [16,  6000] loss: 1.501
[2023-08-28 01:24:58] PRINT [17,  2000] loss: 1.493
[2023-08-28 01:25:55] PRINT [17,  4000] loss: 1.475
[2023-08-28 01:26:51] PRINT [17,  6000] loss: 1.479
[2023-08-28 01:27:57] PRINT [18,  2000] loss: 1.460
[2023-08-28 01:28:53] PRINT [18,  4000] loss: 1.458
[2023-08-28 01:29:49] PRINT [18,  6000] loss: 1.452
[2023-08-28 01:30:55] PRINT [19,  2000] loss: 1.427
[2023-08-28 01:31:52] PRINT [19,  4000] loss: 1.444
[2023-08-28 01:32:48] PRINT [19,  6000] loss: 1.422
[2023-08-28 01:33:54] PRINT [20,  2000] loss: 1.418
[2023-08-28 01:34:51] PRINT [20,  4000] loss: 1.411
[2023-08-28 01:35:46] PRINT [20,  6000] loss: 1.399
[2023-08-28 01:35:54] PRINT Finished Training
[2023-08-28 01:35:55] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:35:55] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-28 01:36:33] PRINT Accuracy of the network on the 10000 test images: 49 %
[2023-08-28 01:37:11] PRINT Accuracy for class: plane is 48.1 %
[2023-08-28 01:37:11] PRINT Accuracy for class: car   is 72.3 %
[2023-08-28 01:37:11] PRINT Accuracy for class: bird  is 34.0 %
[2023-08-28 01:37:11] PRINT Accuracy for class: cat   is 25.4 %
[2023-08-28 01:37:11] PRINT Accuracy for class: deer  is 30.3 %
[2023-08-28 01:37:11] PRINT Accuracy for class: dog   is 47.4 %
[2023-08-28 01:37:11] PRINT Accuracy for class: frog  is 67.1 %
[2023-08-28 01:37:11] PRINT Accuracy for class: horse is 51.2 %
[2023-08-28 01:37:11] PRINT Accuracy for class: ship  is 70.4 %
[2023-08-28 01:37:11] PRINT Accuracy for class: truck is 47.0 %
