[2023-08-27 23:35:24] PRINT cuda
[2023-08-27 23:35:24] PRINT {'lr': 0.0004208804152853215, 'momentum': 0.35014418466140396, 'batch_size': 8}
[2023-08-27 23:35:25] PRINT Files already downloaded and verified
[2023-08-27 23:35:26] PRINT Files already downloaded and verified
[2023-08-27 23:36:25] PRINT [1,  2000] loss: 2.303
[2023-08-27 23:37:20] PRINT [1,  4000] loss: 2.304
[2023-08-27 23:38:15] PRINT [1,  6000] loss: 2.302
[2023-08-27 23:39:17] PRINT [2,  2000] loss: 2.301
[2023-08-27 23:40:12] PRINT [2,  4000] loss: 2.300
[2023-08-27 23:41:08] PRINT [2,  6000] loss: 2.298
[2023-08-27 23:42:08] PRINT [3,  2000] loss: 2.296
[2023-08-27 23:43:05] PRINT [3,  4000] loss: 2.292
[2023-08-27 23:44:03] PRINT [3,  6000] loss: 2.283
[2023-08-27 23:45:09] PRINT [4,  2000] loss: 2.259
[2023-08-27 23:46:06] PRINT [4,  4000] loss: 2.205
[2023-08-27 23:47:03] PRINT [4,  6000] loss: 2.124
[2023-08-27 23:48:09] PRINT [5,  2000] loss: 2.069
[2023-08-27 23:49:07] PRINT [5,  4000] loss: 2.009
[2023-08-27 23:50:05] PRINT [5,  6000] loss: 1.961
[2023-08-27 23:51:14] PRINT [6,  2000] loss: 1.928
[2023-08-27 23:52:15] PRINT [6,  4000] loss: 1.880
[2023-08-27 23:53:15] PRINT [6,  6000] loss: 1.850
[2023-08-27 23:54:25] PRINT [7,  2000] loss: 1.813
[2023-08-27 23:55:23] PRINT [7,  4000] loss: 1.782
[2023-08-27 23:56:18] PRINT [7,  6000] loss: 1.735
[2023-08-27 23:57:22] PRINT [8,  2000] loss: 1.689
[2023-08-27 23:58:19] PRINT [8,  4000] loss: 1.669
[2023-08-27 23:59:17] PRINT [8,  6000] loss: 1.635
[2023-08-28 00:00:23] PRINT [9,  2000] loss: 1.610
[2023-08-28 00:01:20] PRINT [9,  4000] loss: 1.585
[2023-08-28 00:02:18] PRINT [9,  6000] loss: 1.584
[2023-08-28 00:03:24] PRINT [10,  2000] loss: 1.558
[2023-08-28 00:04:19] PRINT [10,  4000] loss: 1.540
[2023-08-28 00:05:18] PRINT [10,  6000] loss: 1.527
[2023-08-28 00:06:24] PRINT [11,  2000] loss: 1.507
[2023-08-28 00:07:21] PRINT [11,  4000] loss: 1.481
[2023-08-28 00:08:18] PRINT [11,  6000] loss: 1.505
[2023-08-28 00:09:25] PRINT [12,  2000] loss: 1.468
[2023-08-28 00:10:21] PRINT [12,  4000] loss: 1.461
[2023-08-28 00:11:18] PRINT [12,  6000] loss: 1.451
[2023-08-28 00:12:25] PRINT [13,  2000] loss: 1.434
[2023-08-28 00:13:22] PRINT [13,  4000] loss: 1.435
[2023-08-28 00:14:19] PRINT [13,  6000] loss: 1.426
[2023-08-28 00:15:26] PRINT [14,  2000] loss: 1.424
[2023-08-28 00:16:23] PRINT [14,  4000] loss: 1.396
[2023-08-28 00:17:19] PRINT [14,  6000] loss: 1.393
[2023-08-28 00:18:25] PRINT [15,  2000] loss: 1.381
[2023-08-28 00:19:21] PRINT [15,  4000] loss: 1.381
[2023-08-28 00:20:19] PRINT [15,  6000] loss: 1.385
[2023-08-28 00:21:25] PRINT [16,  2000] loss: 1.363
[2023-08-28 00:22:22] PRINT [16,  4000] loss: 1.351
[2023-08-28 00:23:20] PRINT [16,  6000] loss: 1.368
[2023-08-28 00:24:26] PRINT [17,  2000] loss: 1.351
[2023-08-28 00:25:22] PRINT [17,  4000] loss: 1.341
[2023-08-28 00:26:20] PRINT [17,  6000] loss: 1.327
[2023-08-28 00:27:26] PRINT [18,  2000] loss: 1.321
[2023-08-28 00:28:24] PRINT [18,  4000] loss: 1.319
[2023-08-28 00:29:21] PRINT [18,  6000] loss: 1.324
[2023-08-28 00:30:27] PRINT [19,  2000] loss: 1.311
[2023-08-28 00:31:24] PRINT [19,  4000] loss: 1.305
[2023-08-28 00:32:21] PRINT [19,  6000] loss: 1.285
[2023-08-28 00:33:27] PRINT [20,  2000] loss: 1.281
[2023-08-28 00:34:23] PRINT [20,  4000] loss: 1.297
[2023-08-28 00:35:22] PRINT [20,  6000] loss: 1.278
[2023-08-28 00:35:30] PRINT Finished Training
[2023-08-28 00:35:31] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:35:31] PRINT Predicted:  cat   car   car   ship 
[2023-08-28 00:36:07] PRINT Accuracy of the network on the 10000 test images: 53 %
[2023-08-28 00:36:45] PRINT Accuracy for class: plane is 59.7 %
[2023-08-28 00:36:45] PRINT Accuracy for class: car   is 69.4 %
[2023-08-28 00:36:45] PRINT Accuracy for class: bird  is 36.4 %
[2023-08-28 00:36:45] PRINT Accuracy for class: cat   is 18.1 %
[2023-08-28 00:36:45] PRINT Accuracy for class: deer  is 39.3 %
[2023-08-28 00:36:45] PRINT Accuracy for class: dog   is 56.1 %
[2023-08-28 00:36:45] PRINT Accuracy for class: frog  is 71.1 %
[2023-08-28 00:36:45] PRINT Accuracy for class: horse is 56.3 %
[2023-08-28 00:36:45] PRINT Accuracy for class: ship  is 69.0 %
[2023-08-28 00:36:45] PRINT Accuracy for class: truck is 61.6 %
