[2023-08-27 22:46:49] PRINT cuda
[2023-08-27 22:46:49] PRINT {'lr': 0.0017093177054178252, 'momentum': 0.8094052826829952, 'batch_size': 8}
[2023-08-27 22:46:49] PRINT Files already downloaded and verified
[2023-08-27 22:46:50] PRINT Files already downloaded and verified
[2023-08-27 22:47:48] PRINT [1,  2000] loss: 2.139
[2023-08-27 22:48:43] PRINT [1,  4000] loss: 1.768
[2023-08-27 22:49:34] PRINT [1,  6000] loss: 1.614
[2023-08-27 22:50:31] PRINT [2,  2000] loss: 1.484
[2023-08-27 22:51:24] PRINT [2,  4000] loss: 1.401
[2023-08-27 22:52:18] PRINT [2,  6000] loss: 1.364
[2023-08-27 22:53:21] PRINT [3,  2000] loss: 1.291
[2023-08-27 22:54:15] PRINT [3,  4000] loss: 1.243
[2023-08-27 22:55:09] PRINT [3,  6000] loss: 1.231
[2023-08-27 22:56:11] PRINT [4,  2000] loss: 1.155
[2023-08-27 22:57:05] PRINT [4,  4000] loss: 1.142
[2023-08-27 22:57:59] PRINT [4,  6000] loss: 1.158
[2023-08-27 22:59:01] PRINT [5,  2000] loss: 1.085
[2023-08-27 22:59:55] PRINT [5,  4000] loss: 1.074
[2023-08-27 23:00:49] PRINT [5,  6000] loss: 1.058
[2023-08-27 23:01:52] PRINT [6,  2000] loss: 0.993
[2023-08-27 23:02:46] PRINT [6,  4000] loss: 1.022
[2023-08-27 23:03:40] PRINT [6,  6000] loss: 1.010
[2023-08-27 23:04:43] PRINT [7,  2000] loss: 0.949
[2023-08-27 23:05:37] PRINT [7,  4000] loss: 0.947
[2023-08-27 23:06:31] PRINT [7,  6000] loss: 0.956
[2023-08-27 23:07:34] PRINT [8,  2000] loss: 0.875
[2023-08-27 23:08:27] PRINT [8,  4000] loss: 0.898
[2023-08-27 23:09:21] PRINT [8,  6000] loss: 0.929
[2023-08-27 23:10:24] PRINT [9,  2000] loss: 0.847
[2023-08-27 23:11:18] PRINT [9,  4000] loss: 0.867
[2023-08-27 23:12:13] PRINT [9,  6000] loss: 0.866
[2023-08-27 23:13:15] PRINT [10,  2000] loss: 0.803
[2023-08-27 23:14:09] PRINT [10,  4000] loss: 0.822
[2023-08-27 23:15:03] PRINT [10,  6000] loss: 0.834
[2023-08-27 23:16:06] PRINT [11,  2000] loss: 0.760
[2023-08-27 23:17:00] PRINT [11,  4000] loss: 0.785
[2023-08-27 23:17:53] PRINT [11,  6000] loss: 0.809
[2023-08-27 23:18:57] PRINT [12,  2000] loss: 0.733
[2023-08-27 23:19:51] PRINT [12,  4000] loss: 0.762
[2023-08-27 23:20:45] PRINT [12,  6000] loss: 0.767
[2023-08-27 23:21:48] PRINT [13,  2000] loss: 0.698
[2023-08-27 23:22:42] PRINT [13,  4000] loss: 0.735
[2023-08-27 23:23:36] PRINT [13,  6000] loss: 0.745
[2023-08-27 23:24:39] PRINT [14,  2000] loss: 0.680
[2023-08-27 23:25:32] PRINT [14,  4000] loss: 0.695
[2023-08-27 23:26:26] PRINT [14,  6000] loss: 0.723
[2023-08-27 23:27:29] PRINT [15,  2000] loss: 0.637
[2023-08-27 23:28:23] PRINT [15,  4000] loss: 0.677
[2023-08-27 23:29:17] PRINT [15,  6000] loss: 0.700
[2023-08-27 23:30:19] PRINT [16,  2000] loss: 0.607
[2023-08-27 23:31:13] PRINT [16,  4000] loss: 0.649
[2023-08-27 23:32:07] PRINT [16,  6000] loss: 0.677
[2023-08-27 23:33:10] PRINT [17,  2000] loss: 0.588
[2023-08-27 23:34:04] PRINT [17,  4000] loss: 0.630
[2023-08-27 23:34:57] PRINT [17,  6000] loss: 0.658
[2023-08-27 23:35:58] PRINT [18,  2000] loss: 0.563
[2023-08-27 23:36:53] PRINT [18,  4000] loss: 0.607
[2023-08-27 23:37:49] PRINT [18,  6000] loss: 0.632
[2023-08-27 23:38:53] PRINT [19,  2000] loss: 0.539
[2023-08-27 23:39:47] PRINT [19,  4000] loss: 0.590
[2023-08-27 23:40:43] PRINT [19,  6000] loss: 0.613
[2023-08-27 23:41:46] PRINT [20,  2000] loss: 0.517
[2023-08-27 23:42:41] PRINT [20,  4000] loss: 0.572
[2023-08-27 23:43:39] PRINT [20,  6000] loss: 0.600
[2023-08-27 23:43:47] PRINT Finished Training
[2023-08-27 23:43:48] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 23:43:48] PRINT Predicted:  cat   ship  ship  plane
[2023-08-27 23:44:26] PRINT Accuracy of the network on the 10000 test images: 63 %
[2023-08-27 23:45:04] PRINT Accuracy for class: plane is 72.6 %
[2023-08-27 23:45:04] PRINT Accuracy for class: car   is 78.3 %
[2023-08-27 23:45:04] PRINT Accuracy for class: bird  is 40.5 %
[2023-08-27 23:45:04] PRINT Accuracy for class: cat   is 39.2 %
[2023-08-27 23:45:04] PRINT Accuracy for class: deer  is 53.4 %
[2023-08-27 23:45:04] PRINT Accuracy for class: dog   is 62.0 %
[2023-08-27 23:45:04] PRINT Accuracy for class: frog  is 71.9 %
[2023-08-27 23:45:04] PRINT Accuracy for class: horse is 71.8 %
[2023-08-27 23:45:04] PRINT Accuracy for class: ship  is 67.8 %
[2023-08-27 23:45:04] PRINT Accuracy for class: truck is 72.7 %
