[2023-08-28 00:50:40] PRINT cuda
[2023-08-28 00:50:40] PRINT {'lr': 0.002336641378337478, 'momentum': 0.19465155754531294, 'batch_size': 8}
[2023-08-28 00:50:40] PRINT Files already downloaded and verified
[2023-08-28 00:50:42] PRINT Files already downloaded and verified
[2023-08-28 00:51:44] PRINT [1,  2000] loss: 2.302
[2023-08-28 00:52:40] PRINT [1,  4000] loss: 2.287
[2023-08-28 00:53:38] PRINT [1,  6000] loss: 2.091
[2023-08-28 00:54:43] PRINT [2,  2000] loss: 1.878
[2023-08-28 00:55:39] PRINT [2,  4000] loss: 1.775
[2023-08-28 00:56:34] PRINT [2,  6000] loss: 1.687
[2023-08-28 00:57:40] PRINT [3,  2000] loss: 1.630
[2023-08-28 00:58:26] PRINT [3,  4000] loss: 1.559
[2023-08-28 00:59:21] PRINT [3,  6000] loss: 1.514
[2023-08-28 01:00:26] PRINT [4,  2000] loss: 1.454
[2023-08-28 01:01:22] PRINT [4,  4000] loss: 1.438
[2023-08-28 01:02:17] PRINT [4,  6000] loss: 1.408
[2023-08-28 01:03:20] PRINT [5,  2000] loss: 1.370
[2023-08-28 01:04:17] PRINT [5,  4000] loss: 1.335
[2023-08-28 01:05:13] PRINT [5,  6000] loss: 1.309
[2023-08-28 01:06:18] PRINT [6,  2000] loss: 1.267
[2023-08-28 01:07:16] PRINT [6,  4000] loss: 1.262
[2023-08-28 01:08:12] PRINT [6,  6000] loss: 1.250
[2023-08-28 01:09:17] PRINT [7,  2000] loss: 1.197
[2023-08-28 01:10:13] PRINT [7,  4000] loss: 1.202
[2023-08-28 01:11:08] PRINT [7,  6000] loss: 1.185
[2023-08-28 01:12:12] PRINT [8,  2000] loss: 1.133
[2023-08-28 01:13:07] PRINT [8,  4000] loss: 1.142
[2023-08-28 01:14:01] PRINT [8,  6000] loss: 1.135
[2023-08-28 01:15:06] PRINT [9,  2000] loss: 1.090
[2023-08-28 01:16:01] PRINT [9,  4000] loss: 1.112
[2023-08-28 01:16:56] PRINT [9,  6000] loss: 1.064
[2023-08-28 01:18:00] PRINT [10,  2000] loss: 1.050
[2023-08-28 01:18:56] PRINT [10,  4000] loss: 1.044
[2023-08-28 01:19:51] PRINT [10,  6000] loss: 1.043
[2023-08-28 01:20:55] PRINT [11,  2000] loss: 1.026
[2023-08-28 01:21:51] PRINT [11,  4000] loss: 1.013
[2023-08-28 01:22:46] PRINT [11,  6000] loss: 0.997
[2023-08-28 01:23:49] PRINT [12,  2000] loss: 0.969
[2023-08-28 01:24:46] PRINT [12,  4000] loss: 0.986
[2023-08-28 01:25:41] PRINT [12,  6000] loss: 0.976
[2023-08-28 01:26:44] PRINT [13,  2000] loss: 0.949
[2023-08-28 01:27:41] PRINT [13,  4000] loss: 0.942
[2023-08-28 01:28:36] PRINT [13,  6000] loss: 0.950
[2023-08-28 01:29:39] PRINT [14,  2000] loss: 0.898
[2023-08-28 01:30:35] PRINT [14,  4000] loss: 0.925
[2023-08-28 01:31:30] PRINT [14,  6000] loss: 0.926
[2023-08-28 01:32:35] PRINT [15,  2000] loss: 0.881
[2023-08-28 01:33:31] PRINT [15,  4000] loss: 0.896
[2023-08-28 01:34:27] PRINT [15,  6000] loss: 0.892
[2023-08-28 01:35:30] PRINT [16,  2000] loss: 0.848
[2023-08-28 01:36:26] PRINT [16,  4000] loss: 0.875
[2023-08-28 01:37:20] PRINT [16,  6000] loss: 0.867
[2023-08-28 01:38:19] PRINT [17,  2000] loss: 0.840
[2023-08-28 01:39:08] PRINT [17,  4000] loss: 0.835
[2023-08-28 01:39:58] PRINT [17,  6000] loss: 0.849
[2023-08-28 01:40:57] PRINT [18,  2000] loss: 0.806
[2023-08-28 01:41:47] PRINT [18,  4000] loss: 0.825
[2023-08-28 01:42:37] PRINT [18,  6000] loss: 0.825
[2023-08-28 01:43:35] PRINT [19,  2000] loss: 0.781
[2023-08-28 01:44:24] PRINT [19,  4000] loss: 0.793
[2023-08-28 01:45:07] PRINT [19,  6000] loss: 0.813
[2023-08-28 01:45:57] PRINT [20,  2000] loss: 0.748
[2023-08-28 01:46:41] PRINT [20,  4000] loss: 0.781
[2023-08-28 01:47:25] PRINT [20,  6000] loss: 0.788
[2023-08-28 01:47:31] PRINT Finished Training
[2023-08-28 01:47:32] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:47:32] PRINT Predicted:  cat   ship  ship  plane
[2023-08-28 01:48:01] PRINT Accuracy of the network on the 10000 test images: 64 %
[2023-08-28 01:48:30] PRINT Accuracy for class: plane is 70.8 %
[2023-08-28 01:48:30] PRINT Accuracy for class: car   is 76.4 %
[2023-08-28 01:48:30] PRINT Accuracy for class: bird  is 47.1 %
[2023-08-28 01:48:30] PRINT Accuracy for class: cat   is 30.7 %
[2023-08-28 01:48:30] PRINT Accuracy for class: deer  is 69.2 %
[2023-08-28 01:48:30] PRINT Accuracy for class: dog   is 59.9 %
[2023-08-28 01:48:30] PRINT Accuracy for class: frog  is 69.3 %
[2023-08-28 01:48:30] PRINT Accuracy for class: horse is 75.3 %
[2023-08-28 01:48:30] PRINT Accuracy for class: ship  is 75.9 %
[2023-08-28 01:48:30] PRINT Accuracy for class: truck is 74.3 %
