[2023-08-28 00:57:55] PRINT cuda
[2023-08-28 00:57:55] PRINT {'lr': 0.0020798728251851606, 'momentum': 0.8815628869860656, 'batch_size': 8}
[2023-08-28 00:57:56] PRINT Files already downloaded and verified
[2023-08-28 00:57:57] PRINT Files already downloaded and verified
[2023-08-28 00:58:57] PRINT [1,  2000] loss: 2.047
[2023-08-28 00:59:53] PRINT [1,  4000] loss: 1.674
[2023-08-28 01:00:49] PRINT [1,  6000] loss: 1.492
[2023-08-28 01:01:55] PRINT [2,  2000] loss: 1.409
[2023-08-28 01:02:51] PRINT [2,  4000] loss: 1.340
[2023-08-28 01:03:45] PRINT [2,  6000] loss: 1.290
[2023-08-28 01:04:52] PRINT [3,  2000] loss: 1.221
[2023-08-28 01:05:49] PRINT [3,  4000] loss: 1.185
[2023-08-28 01:06:47] PRINT [3,  6000] loss: 1.179
[2023-08-28 01:07:53] PRINT [4,  2000] loss: 1.102
[2023-08-28 01:08:50] PRINT [4,  4000] loss: 1.100
[2023-08-28 01:09:47] PRINT [4,  6000] loss: 1.099
[2023-08-28 01:10:51] PRINT [5,  2000] loss: 1.031
[2023-08-28 01:11:48] PRINT [5,  4000] loss: 1.030
[2023-08-28 01:12:43] PRINT [5,  6000] loss: 1.036
[2023-08-28 01:13:48] PRINT [6,  2000] loss: 0.958
[2023-08-28 01:14:44] PRINT [6,  4000] loss: 0.978
[2023-08-28 01:15:40] PRINT [6,  6000] loss: 0.979
[2023-08-28 01:16:45] PRINT [7,  2000] loss: 0.911
[2023-08-28 01:17:40] PRINT [7,  4000] loss: 0.936
[2023-08-28 01:18:36] PRINT [7,  6000] loss: 0.939
[2023-08-28 01:19:40] PRINT [8,  2000] loss: 0.858
[2023-08-28 01:20:36] PRINT [8,  4000] loss: 0.889
[2023-08-28 01:21:32] PRINT [8,  6000] loss: 0.912
[2023-08-28 01:22:37] PRINT [9,  2000] loss: 0.823
[2023-08-28 01:23:33] PRINT [9,  4000] loss: 0.864
[2023-08-28 01:24:29] PRINT [9,  6000] loss: 0.872
[2023-08-28 01:25:34] PRINT [10,  2000] loss: 0.783
[2023-08-28 01:26:30] PRINT [10,  4000] loss: 0.826
[2023-08-28 01:27:26] PRINT [10,  6000] loss: 0.839
[2023-08-28 01:28:30] PRINT [11,  2000] loss: 0.768
[2023-08-28 01:29:26] PRINT [11,  4000] loss: 0.794
[2023-08-28 01:30:21] PRINT [11,  6000] loss: 0.819
[2023-08-28 01:31:26] PRINT [12,  2000] loss: 0.716
[2023-08-28 01:32:22] PRINT [12,  4000] loss: 0.768
[2023-08-28 01:33:18] PRINT [12,  6000] loss: 0.797
[2023-08-28 01:34:24] PRINT [13,  2000] loss: 0.713
[2023-08-28 01:35:20] PRINT [13,  4000] loss: 0.732
[2023-08-28 01:36:15] PRINT [13,  6000] loss: 0.769
[2023-08-28 01:37:20] PRINT [14,  2000] loss: 0.692
[2023-08-28 01:38:10] PRINT [14,  4000] loss: 0.726
[2023-08-28 01:39:00] PRINT [14,  6000] loss: 0.747
[2023-08-28 01:39:58] PRINT [15,  2000] loss: 0.655
[2023-08-28 01:40:49] PRINT [15,  4000] loss: 0.708
[2023-08-28 01:41:38] PRINT [15,  6000] loss: 0.742
[2023-08-28 01:42:36] PRINT [16,  2000] loss: 0.648
[2023-08-28 01:43:26] PRINT [16,  4000] loss: 0.695
[2023-08-28 01:44:16] PRINT [16,  6000] loss: 0.715
[2023-08-28 01:45:08] PRINT [17,  2000] loss: 0.631
[2023-08-28 01:45:51] PRINT [17,  4000] loss: 0.669
[2023-08-28 01:46:35] PRINT [17,  6000] loss: 0.710
[2023-08-28 01:47:27] PRINT [18,  2000] loss: 0.621
[2023-08-28 01:48:11] PRINT [18,  4000] loss: 0.679
[2023-08-28 01:48:52] PRINT [18,  6000] loss: 0.686
[2023-08-28 01:49:37] PRINT [19,  2000] loss: 0.607
[2023-08-28 01:50:11] PRINT [19,  4000] loss: 0.657
[2023-08-28 01:50:43] PRINT [19,  6000] loss: 0.674
[2023-08-28 01:51:21] PRINT [20,  2000] loss: 0.587
[2023-08-28 01:51:50] PRINT [20,  4000] loss: 0.642
[2023-08-28 01:52:17] PRINT [20,  6000] loss: 0.693
[2023-08-28 01:52:21] PRINT Finished Training
[2023-08-28 01:52:22] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:52:22] PRINT Predicted:  cat   truck car   plane
[2023-08-28 01:52:37] PRINT Accuracy of the network on the 10000 test images: 61 %
[2023-08-28 01:52:51] PRINT Accuracy for class: plane is 69.3 %
[2023-08-28 01:52:51] PRINT Accuracy for class: car   is 71.7 %
[2023-08-28 01:52:51] PRINT Accuracy for class: bird  is 51.9 %
[2023-08-28 01:52:51] PRINT Accuracy for class: cat   is 35.7 %
[2023-08-28 01:52:51] PRINT Accuracy for class: deer  is 43.5 %
[2023-08-28 01:52:51] PRINT Accuracy for class: dog   is 61.2 %
[2023-08-28 01:52:51] PRINT Accuracy for class: frog  is 71.6 %
[2023-08-28 01:52:51] PRINT Accuracy for class: horse is 63.3 %
[2023-08-28 01:52:51] PRINT Accuracy for class: ship  is 64.6 %
[2023-08-28 01:52:51] PRINT Accuracy for class: truck is 77.6 %
