[2023-08-28 00:54:45] PRINT cuda
[2023-08-28 00:54:45] PRINT {'lr': 0.00030981970400136336, 'momentum': 0.6113203318013385, 'batch_size': 8}
[2023-08-28 00:54:46] PRINT Files already downloaded and verified
[2023-08-28 00:54:47] PRINT Files already downloaded and verified
[2023-08-28 00:55:48] PRINT [1,  2000] loss: 2.303
[2023-08-28 00:56:45] PRINT [1,  4000] loss: 2.300
[2023-08-28 00:57:41] PRINT [1,  6000] loss: 2.298
[2023-08-28 00:58:38] PRINT [2,  2000] loss: 2.291
[2023-08-28 00:59:34] PRINT [2,  4000] loss: 2.276
[2023-08-28 01:00:30] PRINT [2,  6000] loss: 2.236
[2023-08-28 01:01:36] PRINT [3,  2000] loss: 2.154
[2023-08-28 01:02:32] PRINT [3,  4000] loss: 2.118
[2023-08-28 01:03:28] PRINT [3,  6000] loss: 2.075
[2023-08-28 01:04:35] PRINT [4,  2000] loss: 1.997
[2023-08-28 01:05:31] PRINT [4,  4000] loss: 1.961
[2023-08-28 01:06:28] PRINT [4,  6000] loss: 1.916
[2023-08-28 01:07:35] PRINT [5,  2000] loss: 1.889
[2023-08-28 01:08:34] PRINT [5,  4000] loss: 1.844
[2023-08-28 01:09:30] PRINT [5,  6000] loss: 1.799
[2023-08-28 01:10:36] PRINT [6,  2000] loss: 1.770
[2023-08-28 01:11:32] PRINT [6,  4000] loss: 1.743
[2023-08-28 01:12:28] PRINT [6,  6000] loss: 1.706
[2023-08-28 01:13:33] PRINT [7,  2000] loss: 1.677
[2023-08-28 01:14:29] PRINT [7,  4000] loss: 1.657
[2023-08-28 01:15:25] PRINT [7,  6000] loss: 1.651
[2023-08-28 01:16:30] PRINT [8,  2000] loss: 1.615
[2023-08-28 01:17:27] PRINT [8,  4000] loss: 1.581
[2023-08-28 01:18:23] PRINT [8,  6000] loss: 1.570
[2023-08-28 01:19:28] PRINT [9,  2000] loss: 1.535
[2023-08-28 01:20:24] PRINT [9,  4000] loss: 1.519
[2023-08-28 01:21:21] PRINT [9,  6000] loss: 1.509
[2023-08-28 01:22:26] PRINT [10,  2000] loss: 1.487
[2023-08-28 01:23:22] PRINT [10,  4000] loss: 1.465
[2023-08-28 01:24:17] PRINT [10,  6000] loss: 1.455
[2023-08-28 01:25:23] PRINT [11,  2000] loss: 1.432
[2023-08-28 01:26:20] PRINT [11,  4000] loss: 1.426
[2023-08-28 01:27:16] PRINT [11,  6000] loss: 1.427
[2023-08-28 01:28:22] PRINT [12,  2000] loss: 1.398
[2023-08-28 01:29:18] PRINT [12,  4000] loss: 1.395
[2023-08-28 01:30:14] PRINT [12,  6000] loss: 1.393
[2023-08-28 01:31:20] PRINT [13,  2000] loss: 1.375
[2023-08-28 01:32:16] PRINT [13,  4000] loss: 1.373
[2023-08-28 01:33:12] PRINT [13,  6000] loss: 1.351
[2023-08-28 01:34:18] PRINT [14,  2000] loss: 1.346
[2023-08-28 01:35:14] PRINT [14,  4000] loss: 1.345
[2023-08-28 01:36:10] PRINT [14,  6000] loss: 1.321
[2023-08-28 01:37:15] PRINT [15,  2000] loss: 1.314
[2023-08-28 01:38:06] PRINT [15,  4000] loss: 1.310
[2023-08-28 01:38:56] PRINT [15,  6000] loss: 1.307
[2023-08-28 01:39:56] PRINT [16,  2000] loss: 1.283
[2023-08-28 01:40:47] PRINT [16,  4000] loss: 1.282
[2023-08-28 01:41:36] PRINT [16,  6000] loss: 1.283
[2023-08-28 01:42:35] PRINT [17,  2000] loss: 1.258
[2023-08-28 01:43:26] PRINT [17,  4000] loss: 1.263
[2023-08-28 01:44:17] PRINT [17,  6000] loss: 1.255
[2023-08-28 01:45:09] PRINT [18,  2000] loss: 1.232
[2023-08-28 01:45:53] PRINT [18,  4000] loss: 1.235
[2023-08-28 01:46:38] PRINT [18,  6000] loss: 1.234
[2023-08-28 01:47:29] PRINT [19,  2000] loss: 1.205
[2023-08-28 01:48:14] PRINT [19,  4000] loss: 1.217
[2023-08-28 01:48:53] PRINT [19,  6000] loss: 1.216
[2023-08-28 01:49:39] PRINT [20,  2000] loss: 1.198
[2023-08-28 01:50:12] PRINT [20,  4000] loss: 1.190
[2023-08-28 01:50:44] PRINT [20,  6000] loss: 1.185
[2023-08-28 01:50:49] PRINT Finished Training
[2023-08-28 01:50:50] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:50:50] PRINT Predicted:  cat   car   car   ship 
[2023-08-28 01:51:12] PRINT Accuracy of the network on the 10000 test images: 56 %
[2023-08-28 01:51:33] PRINT Accuracy for class: plane is 61.1 %
[2023-08-28 01:51:33] PRINT Accuracy for class: car   is 60.5 %
[2023-08-28 01:51:33] PRINT Accuracy for class: bird  is 51.8 %
[2023-08-28 01:51:33] PRINT Accuracy for class: cat   is 43.3 %
[2023-08-28 01:51:33] PRINT Accuracy for class: deer  is 41.6 %
[2023-08-28 01:51:33] PRINT Accuracy for class: dog   is 48.1 %
[2023-08-28 01:51:33] PRINT Accuracy for class: frog  is 61.9 %
[2023-08-28 01:51:33] PRINT Accuracy for class: horse is 60.8 %
[2023-08-28 01:51:33] PRINT Accuracy for class: ship  is 74.9 %
[2023-08-28 01:51:33] PRINT Accuracy for class: truck is 60.0 %
