[2023-08-27 21:36:28] PRINT cuda
[2023-08-27 21:36:28] PRINT {'lr': 0.0012704509460805527, 'momentum': 0.7932246614784281, 'batch_size': 8}
[2023-08-27 21:36:28] PRINT Files already downloaded and verified
[2023-08-27 21:36:30] PRINT Files already downloaded and verified
[2023-08-27 21:37:32] PRINT [1,  2000] loss: 2.230
[2023-08-27 21:38:31] PRINT [1,  4000] loss: 1.904
[2023-08-27 21:39:26] PRINT [1,  6000] loss: 1.711
[2023-08-27 21:40:31] PRINT [2,  2000] loss: 1.568
[2023-08-27 21:41:32] PRINT [2,  4000] loss: 1.477
[2023-08-27 21:42:32] PRINT [2,  6000] loss: 1.433
[2023-08-27 21:43:44] PRINT [3,  2000] loss: 1.368
[2023-08-27 21:44:44] PRINT [3,  4000] loss: 1.321
[2023-08-27 21:45:45] PRINT [3,  6000] loss: 1.302
[2023-08-27 21:46:51] PRINT [4,  2000] loss: 1.250
[2023-08-27 21:47:49] PRINT [4,  4000] loss: 1.219
[2023-08-27 21:48:48] PRINT [4,  6000] loss: 1.202
[2023-08-27 21:49:56] PRINT [5,  2000] loss: 1.148
[2023-08-27 21:50:56] PRINT [5,  4000] loss: 1.144
[2023-08-27 21:51:54] PRINT [5,  6000] loss: 1.130
[2023-08-27 21:53:02] PRINT [6,  2000] loss: 1.080
[2023-08-27 21:54:02] PRINT [6,  4000] loss: 1.064
[2023-08-27 21:55:01] PRINT [6,  6000] loss: 1.078
[2023-08-27 21:56:09] PRINT [7,  2000] loss: 1.015
[2023-08-27 21:57:08] PRINT [7,  4000] loss: 1.019
[2023-08-27 21:58:07] PRINT [7,  6000] loss: 1.022
[2023-08-27 21:59:15] PRINT [8,  2000] loss: 0.964
[2023-08-27 22:00:14] PRINT [8,  4000] loss: 0.988
[2023-08-27 22:01:14] PRINT [8,  6000] loss: 0.964
[2023-08-27 22:02:22] PRINT [9,  2000] loss: 0.920
[2023-08-27 22:03:20] PRINT [9,  4000] loss: 0.924
[2023-08-27 22:04:20] PRINT [9,  6000] loss: 0.937
[2023-08-27 22:05:28] PRINT [10,  2000] loss: 0.882
[2023-08-27 22:06:27] PRINT [10,  4000] loss: 0.892
[2023-08-27 22:07:25] PRINT [10,  6000] loss: 0.897
[2023-08-27 22:08:34] PRINT [11,  2000] loss: 0.848
[2023-08-27 22:09:32] PRINT [11,  4000] loss: 0.852
[2023-08-27 22:10:31] PRINT [11,  6000] loss: 0.864
[2023-08-27 22:11:40] PRINT [12,  2000] loss: 0.793
[2023-08-27 22:12:38] PRINT [12,  4000] loss: 0.824
[2023-08-27 22:13:36] PRINT [12,  6000] loss: 0.830
[2023-08-27 22:14:45] PRINT [13,  2000] loss: 0.770
[2023-08-27 22:15:44] PRINT [13,  4000] loss: 0.784
[2023-08-27 22:16:42] PRINT [13,  6000] loss: 0.795
[2023-08-27 22:17:49] PRINT [14,  2000] loss: 0.741
[2023-08-27 22:18:49] PRINT [14,  4000] loss: 0.766
[2023-08-27 22:19:47] PRINT [14,  6000] loss: 0.760
[2023-08-27 22:20:55] PRINT [15,  2000] loss: 0.697
[2023-08-27 22:21:55] PRINT [15,  4000] loss: 0.736
[2023-08-27 22:22:53] PRINT [15,  6000] loss: 0.751
[2023-08-27 22:24:01] PRINT [16,  2000] loss: 0.675
[2023-08-27 22:25:00] PRINT [16,  4000] loss: 0.700
[2023-08-27 22:25:59] PRINT [16,  6000] loss: 0.726
[2023-08-27 22:27:07] PRINT [17,  2000] loss: 0.641
[2023-08-27 22:28:06] PRINT [17,  4000] loss: 0.689
[2023-08-27 22:29:06] PRINT [17,  6000] loss: 0.696
[2023-08-27 22:30:13] PRINT [18,  2000] loss: 0.613
[2023-08-27 22:31:12] PRINT [18,  4000] loss: 0.665
[2023-08-27 22:32:12] PRINT [18,  6000] loss: 0.673
[2023-08-27 22:33:20] PRINT [19,  2000] loss: 0.586
[2023-08-27 22:34:18] PRINT [19,  4000] loss: 0.619
[2023-08-27 22:35:17] PRINT [19,  6000] loss: 0.669
[2023-08-27 22:36:25] PRINT [20,  2000] loss: 0.560
[2023-08-27 22:37:23] PRINT [20,  4000] loss: 0.610
[2023-08-27 22:38:22] PRINT [20,  6000] loss: 0.639
[2023-08-27 22:38:30] PRINT Finished Training
[2023-08-27 22:38:31] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 22:38:31] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-27 22:39:09] PRINT Accuracy of the network on the 10000 test images: 64 %
[2023-08-27 22:39:48] PRINT Accuracy for class: plane is 70.7 %
[2023-08-27 22:39:48] PRINT Accuracy for class: car   is 84.1 %
[2023-08-27 22:39:48] PRINT Accuracy for class: bird  is 61.4 %
[2023-08-27 22:39:48] PRINT Accuracy for class: cat   is 48.0 %
[2023-08-27 22:39:48] PRINT Accuracy for class: deer  is 59.9 %
[2023-08-27 22:39:48] PRINT Accuracy for class: dog   is 43.9 %
[2023-08-27 22:39:48] PRINT Accuracy for class: frog  is 71.3 %
[2023-08-27 22:39:48] PRINT Accuracy for class: horse is 69.9 %
[2023-08-27 22:39:48] PRINT Accuracy for class: ship  is 75.0 %
[2023-08-27 22:39:48] PRINT Accuracy for class: truck is 61.5 %
