[2023-08-27 23:55:25] PRINT cuda
[2023-08-27 23:55:25] PRINT {'lr': 0.00023414162169868515, 'momentum': 0.42550872026388087, 'batch_size': 8}
[2023-08-27 23:55:25] PRINT Files already downloaded and verified
[2023-08-27 23:55:26] PRINT Files already downloaded and verified
[2023-08-27 23:56:28] PRINT [1,  2000] loss: 2.304
[2023-08-27 23:57:26] PRINT [1,  4000] loss: 2.302
[2023-08-27 23:58:23] PRINT [1,  6000] loss: 2.301
[2023-08-27 23:59:31] PRINT [2,  2000] loss: 2.299
[2023-08-28 00:00:28] PRINT [2,  4000] loss: 2.297
[2023-08-28 00:01:25] PRINT [2,  6000] loss: 2.295
[2023-08-28 00:02:33] PRINT [3,  2000] loss: 2.290
[2023-08-28 00:03:30] PRINT [3,  4000] loss: 2.284
[2023-08-28 00:04:27] PRINT [3,  6000] loss: 2.274
[2023-08-28 00:05:35] PRINT [4,  2000] loss: 2.253
[2023-08-28 00:06:33] PRINT [4,  4000] loss: 2.221
[2023-08-28 00:07:30] PRINT [4,  6000] loss: 2.183
[2023-08-28 00:08:37] PRINT [5,  2000] loss: 2.114
[2023-08-28 00:09:35] PRINT [5,  4000] loss: 2.048
[2023-08-28 00:10:32] PRINT [5,  6000] loss: 1.988
[2023-08-28 00:11:39] PRINT [6,  2000] loss: 1.951
[2023-08-28 00:12:37] PRINT [6,  4000] loss: 1.910
[2023-08-28 00:13:34] PRINT [6,  6000] loss: 1.886
[2023-08-28 00:14:41] PRINT [7,  2000] loss: 1.850
[2023-08-28 00:15:39] PRINT [7,  4000] loss: 1.827
[2023-08-28 00:16:36] PRINT [7,  6000] loss: 1.789
[2023-08-28 00:17:44] PRINT [8,  2000] loss: 1.768
[2023-08-28 00:18:41] PRINT [8,  4000] loss: 1.731
[2023-08-28 00:19:40] PRINT [8,  6000] loss: 1.727
[2023-08-28 00:20:47] PRINT [9,  2000] loss: 1.693
[2023-08-28 00:21:44] PRINT [9,  4000] loss: 1.688
[2023-08-28 00:22:42] PRINT [9,  6000] loss: 1.684
[2023-08-28 00:23:49] PRINT [10,  2000] loss: 1.658
[2023-08-28 00:24:47] PRINT [10,  4000] loss: 1.650
[2023-08-28 00:25:45] PRINT [10,  6000] loss: 1.642
[2023-08-28 00:26:51] PRINT [11,  2000] loss: 1.627
[2023-08-28 00:27:49] PRINT [11,  4000] loss: 1.612
[2023-08-28 00:28:46] PRINT [11,  6000] loss: 1.614
[2023-08-28 00:29:53] PRINT [12,  2000] loss: 1.604
[2023-08-28 00:30:51] PRINT [12,  4000] loss: 1.588
[2023-08-28 00:31:49] PRINT [12,  6000] loss: 1.577
[2023-08-28 00:32:56] PRINT [13,  2000] loss: 1.584
[2023-08-28 00:33:54] PRINT [13,  4000] loss: 1.560
[2023-08-28 00:34:51] PRINT [13,  6000] loss: 1.548
[2023-08-28 00:35:58] PRINT [14,  2000] loss: 1.541
[2023-08-28 00:36:55] PRINT [14,  4000] loss: 1.536
[2023-08-28 00:37:52] PRINT [14,  6000] loss: 1.539
[2023-08-28 00:39:01] PRINT [15,  2000] loss: 1.529
[2023-08-28 00:39:59] PRINT [15,  4000] loss: 1.523
[2023-08-28 00:40:57] PRINT [15,  6000] loss: 1.496
[2023-08-28 00:42:06] PRINT [16,  2000] loss: 1.493
[2023-08-28 00:43:04] PRINT [16,  4000] loss: 1.494
[2023-08-28 00:44:01] PRINT [16,  6000] loss: 1.490
[2023-08-28 00:45:08] PRINT [17,  2000] loss: 1.479
[2023-08-28 00:46:07] PRINT [17,  4000] loss: 1.475
[2023-08-28 00:47:05] PRINT [17,  6000] loss: 1.465
[2023-08-28 00:48:15] PRINT [18,  2000] loss: 1.462
[2023-08-28 00:49:15] PRINT [18,  4000] loss: 1.454
[2023-08-28 00:50:14] PRINT [18,  6000] loss: 1.448
[2023-08-28 00:51:21] PRINT [19,  2000] loss: 1.442
[2023-08-28 00:52:20] PRINT [19,  4000] loss: 1.426
[2023-08-28 00:53:19] PRINT [19,  6000] loss: 1.437
[2023-08-28 00:54:28] PRINT [20,  2000] loss: 1.423
[2023-08-28 00:55:24] PRINT [20,  4000] loss: 1.416
[2023-08-28 00:56:19] PRINT [20,  6000] loss: 1.417
[2023-08-28 00:56:27] PRINT Finished Training
[2023-08-28 00:56:28] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:56:28] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-28 00:57:06] PRINT Accuracy of the network on the 10000 test images: 48 %
[2023-08-28 00:57:43] PRINT Accuracy for class: plane is 51.3 %
[2023-08-28 00:57:43] PRINT Accuracy for class: car   is 55.0 %
[2023-08-28 00:57:43] PRINT Accuracy for class: bird  is 31.6 %
[2023-08-28 00:57:43] PRINT Accuracy for class: cat   is 30.9 %
[2023-08-28 00:57:43] PRINT Accuracy for class: deer  is 33.5 %
[2023-08-28 00:57:43] PRINT Accuracy for class: dog   is 42.0 %
[2023-08-28 00:57:43] PRINT Accuracy for class: frog  is 58.4 %
[2023-08-28 00:57:43] PRINT Accuracy for class: horse is 64.2 %
[2023-08-28 00:57:43] PRINT Accuracy for class: ship  is 56.6 %
[2023-08-28 00:57:43] PRINT Accuracy for class: truck is 61.0 %
