[2023-08-28 00:58:15] PRINT cuda
[2023-08-28 00:58:15] PRINT {'lr': 0.002425068966768119, 'momentum': 0.6484905944554005, 'batch_size': 8}
[2023-08-28 00:58:16] PRINT Files already downloaded and verified
[2023-08-28 00:58:17] PRINT Files already downloaded and verified
[2023-08-28 00:59:18] PRINT [1,  2000] loss: 2.278
[2023-08-28 01:00:14] PRINT [1,  4000] loss: 1.990
[2023-08-28 01:01:11] PRINT [1,  6000] loss: 1.744
[2023-08-28 01:02:15] PRINT [2,  2000] loss: 1.600
[2023-08-28 01:03:12] PRINT [2,  4000] loss: 1.531
[2023-08-28 01:04:08] PRINT [2,  6000] loss: 1.456
[2023-08-28 01:05:15] PRINT [3,  2000] loss: 1.385
[2023-08-28 01:06:13] PRINT [3,  4000] loss: 1.365
[2023-08-28 01:07:11] PRINT [3,  6000] loss: 1.331
[2023-08-28 01:08:18] PRINT [4,  2000] loss: 1.271
[2023-08-28 01:09:15] PRINT [4,  4000] loss: 1.261
[2023-08-28 01:10:11] PRINT [4,  6000] loss: 1.232
[2023-08-28 01:11:17] PRINT [5,  2000] loss: 1.181
[2023-08-28 01:12:12] PRINT [5,  4000] loss: 1.181
[2023-08-28 01:13:08] PRINT [5,  6000] loss: 1.174
[2023-08-28 01:14:12] PRINT [6,  2000] loss: 1.121
[2023-08-28 01:15:08] PRINT [6,  4000] loss: 1.116
[2023-08-28 01:16:04] PRINT [6,  6000] loss: 1.100
[2023-08-28 01:17:09] PRINT [7,  2000] loss: 1.061
[2023-08-28 01:18:05] PRINT [7,  4000] loss: 1.061
[2023-08-28 01:19:01] PRINT [7,  6000] loss: 1.055
[2023-08-28 01:20:06] PRINT [8,  2000] loss: 1.006
[2023-08-28 01:21:02] PRINT [8,  4000] loss: 1.009
[2023-08-28 01:21:59] PRINT [8,  6000] loss: 1.015
[2023-08-28 01:23:03] PRINT [9,  2000] loss: 0.956
[2023-08-28 01:24:00] PRINT [9,  4000] loss: 0.972
[2023-08-28 01:24:57] PRINT [9,  6000] loss: 0.975
[2023-08-28 01:26:01] PRINT [10,  2000] loss: 0.922
[2023-08-28 01:26:57] PRINT [10,  4000] loss: 0.925
[2023-08-28 01:27:54] PRINT [10,  6000] loss: 0.933
[2023-08-28 01:28:59] PRINT [11,  2000] loss: 0.871
[2023-08-28 01:29:54] PRINT [11,  4000] loss: 0.878
[2023-08-28 01:30:51] PRINT [11,  6000] loss: 0.917
[2023-08-28 01:31:56] PRINT [12,  2000] loss: 0.826
[2023-08-28 01:32:52] PRINT [12,  4000] loss: 0.854
[2023-08-28 01:33:48] PRINT [12,  6000] loss: 0.879
[2023-08-28 01:34:53] PRINT [13,  2000] loss: 0.792
[2023-08-28 01:35:49] PRINT [13,  4000] loss: 0.831
[2023-08-28 01:36:45] PRINT [13,  6000] loss: 0.838
[2023-08-28 01:37:47] PRINT [14,  2000] loss: 0.772
[2023-08-28 01:38:37] PRINT [14,  4000] loss: 0.795
[2023-08-28 01:39:28] PRINT [14,  6000] loss: 0.810
[2023-08-28 01:40:28] PRINT [15,  2000] loss: 0.742
[2023-08-28 01:41:18] PRINT [15,  4000] loss: 0.760
[2023-08-28 01:42:07] PRINT [15,  6000] loss: 0.784
[2023-08-28 01:43:05] PRINT [16,  2000] loss: 0.713
[2023-08-28 01:43:56] PRINT [16,  4000] loss: 0.735
[2023-08-28 01:44:44] PRINT [16,  6000] loss: 0.754
[2023-08-28 01:45:36] PRINT [17,  2000] loss: 0.683
[2023-08-28 01:46:20] PRINT [17,  4000] loss: 0.719
[2023-08-28 01:47:05] PRINT [17,  6000] loss: 0.724
[2023-08-28 01:47:57] PRINT [18,  2000] loss: 0.670
[2023-08-28 01:48:39] PRINT [18,  4000] loss: 0.675
[2023-08-28 01:49:19] PRINT [18,  6000] loss: 0.709
[2023-08-28 01:50:00] PRINT [19,  2000] loss: 0.627
[2023-08-28 01:50:32] PRINT [19,  4000] loss: 0.684
[2023-08-28 01:51:06] PRINT [19,  6000] loss: 0.678
[2023-08-28 01:51:42] PRINT [20,  2000] loss: 0.613
[2023-08-28 01:52:10] PRINT [20,  4000] loss: 0.638
[2023-08-28 01:52:35] PRINT [20,  6000] loss: 0.661
[2023-08-28 01:52:38] PRINT Finished Training
[2023-08-28 01:52:39] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:52:39] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-28 01:52:53] PRINT Accuracy of the network on the 10000 test images: 63 %
[2023-08-28 01:52:59] PRINT Accuracy for class: plane is 59.8 %
[2023-08-28 01:52:59] PRINT Accuracy for class: car   is 77.3 %
[2023-08-28 01:52:59] PRINT Accuracy for class: bird  is 49.7 %
[2023-08-28 01:52:59] PRINT Accuracy for class: cat   is 54.4 %
[2023-08-28 01:52:59] PRINT Accuracy for class: deer  is 51.1 %
[2023-08-28 01:52:59] PRINT Accuracy for class: dog   is 48.3 %
[2023-08-28 01:52:59] PRINT Accuracy for class: frog  is 78.9 %
[2023-08-28 01:52:59] PRINT Accuracy for class: horse is 66.7 %
[2023-08-28 01:52:59] PRINT Accuracy for class: ship  is 81.0 %
[2023-08-28 01:52:59] PRINT Accuracy for class: truck is 68.5 %
