[2023-08-28 00:56:25] PRINT cuda
[2023-08-28 00:56:25] PRINT {'lr': 0.008145818407950723, 'momentum': 0.23412826429074554, 'batch_size': 8}
[2023-08-28 00:56:26] PRINT Files already downloaded and verified
[2023-08-28 00:56:27] PRINT Files already downloaded and verified
[2023-08-28 00:57:30] PRINT [1,  2000] loss: 2.169
[2023-08-28 00:58:17] PRINT [1,  4000] loss: 1.745
[2023-08-28 00:59:12] PRINT [1,  6000] loss: 1.572
[2023-08-28 01:00:17] PRINT [2,  2000] loss: 1.465
[2023-08-28 01:01:13] PRINT [2,  4000] loss: 1.419
[2023-08-28 01:02:10] PRINT [2,  6000] loss: 1.347
[2023-08-28 01:03:15] PRINT [3,  2000] loss: 1.291
[2023-08-28 01:04:12] PRINT [3,  4000] loss: 1.261
[2023-08-28 01:05:10] PRINT [3,  6000] loss: 1.219
[2023-08-28 01:06:16] PRINT [4,  2000] loss: 1.162
[2023-08-28 01:07:13] PRINT [4,  4000] loss: 1.164
[2023-08-28 01:08:11] PRINT [4,  6000] loss: 1.152
[2023-08-28 01:09:17] PRINT [5,  2000] loss: 1.084
[2023-08-28 01:10:13] PRINT [5,  4000] loss: 1.086
[2023-08-28 01:11:09] PRINT [5,  6000] loss: 1.067
[2023-08-28 01:12:14] PRINT [6,  2000] loss: 1.007
[2023-08-28 01:13:10] PRINT [6,  4000] loss: 1.006
[2023-08-28 01:14:06] PRINT [6,  6000] loss: 1.022
[2023-08-28 01:15:11] PRINT [7,  2000] loss: 0.947
[2023-08-28 01:16:06] PRINT [7,  4000] loss: 0.962
[2023-08-28 01:17:02] PRINT [7,  6000] loss: 0.957
[2023-08-28 01:18:08] PRINT [8,  2000] loss: 0.891
[2023-08-28 01:19:04] PRINT [8,  4000] loss: 0.920
[2023-08-28 01:20:00] PRINT [8,  6000] loss: 0.924
[2023-08-28 01:21:06] PRINT [9,  2000] loss: 0.842
[2023-08-28 01:22:01] PRINT [9,  4000] loss: 0.880
[2023-08-28 01:22:58] PRINT [9,  6000] loss: 0.885
[2023-08-28 01:24:02] PRINT [10,  2000] loss: 0.811
[2023-08-28 01:24:59] PRINT [10,  4000] loss: 0.828
[2023-08-28 01:25:56] PRINT [10,  6000] loss: 0.846
[2023-08-28 01:27:00] PRINT [11,  2000] loss: 0.771
[2023-08-28 01:27:58] PRINT [11,  4000] loss: 0.796
[2023-08-28 01:28:54] PRINT [11,  6000] loss: 0.813
[2023-08-28 01:29:59] PRINT [12,  2000] loss: 0.733
[2023-08-28 01:30:56] PRINT [12,  4000] loss: 0.770
[2023-08-28 01:31:52] PRINT [12,  6000] loss: 0.791
[2023-08-28 01:32:57] PRINT [13,  2000] loss: 0.699
[2023-08-28 01:33:53] PRINT [13,  4000] loss: 0.736
[2023-08-28 01:34:50] PRINT [13,  6000] loss: 0.761
[2023-08-28 01:35:55] PRINT [14,  2000] loss: 0.666
[2023-08-28 01:36:52] PRINT [14,  4000] loss: 0.715
[2023-08-28 01:37:46] PRINT [14,  6000] loss: 0.728
[2023-08-28 01:38:44] PRINT [15,  2000] loss: 0.641
[2023-08-28 01:39:34] PRINT [15,  4000] loss: 0.683
[2023-08-28 01:40:24] PRINT [15,  6000] loss: 0.703
[2023-08-28 01:41:23] PRINT [16,  2000] loss: 0.616
[2023-08-28 01:42:13] PRINT [16,  4000] loss: 0.654
[2023-08-28 01:43:03] PRINT [16,  6000] loss: 0.689
[2023-08-28 01:44:03] PRINT [17,  2000] loss: 0.590
[2023-08-28 01:44:50] PRINT [17,  4000] loss: 0.634
[2023-08-28 01:45:34] PRINT [17,  6000] loss: 0.675
[2023-08-28 01:46:26] PRINT [18,  2000] loss: 0.570
[2023-08-28 01:47:10] PRINT [18,  4000] loss: 0.630
[2023-08-28 01:47:55] PRINT [18,  6000] loss: 0.644
[2023-08-28 01:48:44] PRINT [19,  2000] loss: 0.544
[2023-08-28 01:49:24] PRINT [19,  4000] loss: 0.588
[2023-08-28 01:50:00] PRINT [19,  6000] loss: 0.640
[2023-08-28 01:50:38] PRINT [20,  2000] loss: 0.537
[2023-08-28 01:51:12] PRINT [20,  4000] loss: 0.586
[2023-08-28 01:51:42] PRINT [20,  6000] loss: 0.607
[2023-08-28 01:51:46] PRINT Finished Training
[2023-08-28 01:51:46] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:51:46] PRINT Predicted:  ship  ship  car   plane
[2023-08-28 01:52:05] PRINT Accuracy of the network on the 10000 test images: 62 %
[2023-08-28 01:52:23] PRINT Accuracy for class: plane is 62.5 %
[2023-08-28 01:52:23] PRINT Accuracy for class: car   is 79.9 %
[2023-08-28 01:52:23] PRINT Accuracy for class: bird  is 58.6 %
[2023-08-28 01:52:23] PRINT Accuracy for class: cat   is 33.4 %
[2023-08-28 01:52:23] PRINT Accuracy for class: deer  is 50.5 %
[2023-08-28 01:52:23] PRINT Accuracy for class: dog   is 58.4 %
[2023-08-28 01:52:23] PRINT Accuracy for class: frog  is 75.2 %
[2023-08-28 01:52:23] PRINT Accuracy for class: horse is 63.4 %
[2023-08-28 01:52:23] PRINT Accuracy for class: ship  is 79.4 %
[2023-08-28 01:52:23] PRINT Accuracy for class: truck is 67.7 %
