[2023-08-27 22:50:34] PRINT cuda
[2023-08-27 22:50:34] PRINT {'lr': 0.00010298256181568834, 'momentum': 0.3586724384551407, 'batch_size': 8}
[2023-08-27 22:50:34] PRINT Files already downloaded and verified
[2023-08-27 22:50:35] PRINT Files already downloaded and verified
[2023-08-27 22:51:35] PRINT [1,  2000] loss: 2.305
[2023-08-27 22:52:29] PRINT [1,  4000] loss: 2.305
[2023-08-27 22:53:23] PRINT [1,  6000] loss: 2.305
[2023-08-27 22:54:24] PRINT [2,  2000] loss: 2.304
[2023-08-27 22:55:18] PRINT [2,  4000] loss: 2.304
[2023-08-27 22:56:12] PRINT [2,  6000] loss: 2.303
[2023-08-27 22:57:15] PRINT [3,  2000] loss: 2.303
[2023-08-27 22:58:09] PRINT [3,  4000] loss: 2.302
[2023-08-27 22:59:02] PRINT [3,  6000] loss: 2.302
[2023-08-27 23:00:04] PRINT [4,  2000] loss: 2.301
[2023-08-27 23:00:58] PRINT [4,  4000] loss: 2.301
[2023-08-27 23:01:51] PRINT [4,  6000] loss: 2.300
[2023-08-27 23:02:53] PRINT [5,  2000] loss: 2.299
[2023-08-27 23:03:47] PRINT [5,  4000] loss: 2.299
[2023-08-27 23:04:40] PRINT [5,  6000] loss: 2.299
[2023-08-27 23:05:43] PRINT [6,  2000] loss: 2.297
[2023-08-27 23:06:37] PRINT [6,  4000] loss: 2.297
[2023-08-27 23:07:30] PRINT [6,  6000] loss: 2.296
[2023-08-27 23:08:32] PRINT [7,  2000] loss: 2.295
[2023-08-27 23:09:27] PRINT [7,  4000] loss: 2.293
[2023-08-27 23:10:20] PRINT [7,  6000] loss: 2.291
[2023-08-27 23:11:22] PRINT [8,  2000] loss: 2.290
[2023-08-27 23:12:15] PRINT [8,  4000] loss: 2.288
[2023-08-27 23:13:09] PRINT [8,  6000] loss: 2.285
[2023-08-27 23:14:11] PRINT [9,  2000] loss: 2.280
[2023-08-27 23:15:05] PRINT [9,  4000] loss: 2.277
[2023-08-27 23:15:59] PRINT [9,  6000] loss: 2.272
[2023-08-27 23:17:01] PRINT [10,  2000] loss: 2.264
[2023-08-27 23:17:55] PRINT [10,  4000] loss: 2.256
[2023-08-27 23:18:49] PRINT [10,  6000] loss: 2.246
[2023-08-27 23:19:51] PRINT [11,  2000] loss: 2.233
[2023-08-27 23:20:44] PRINT [11,  4000] loss: 2.218
[2023-08-27 23:21:37] PRINT [11,  6000] loss: 2.204
[2023-08-27 23:22:40] PRINT [12,  2000] loss: 2.186
[2023-08-27 23:23:34] PRINT [12,  4000] loss: 2.172
[2023-08-27 23:24:27] PRINT [12,  6000] loss: 2.154
[2023-08-27 23:25:30] PRINT [13,  2000] loss: 2.137
[2023-08-27 23:26:23] PRINT [13,  4000] loss: 2.122
[2023-08-27 23:27:17] PRINT [13,  6000] loss: 2.115
[2023-08-27 23:28:19] PRINT [14,  2000] loss: 2.095
[2023-08-27 23:29:13] PRINT [14,  4000] loss: 2.080
[2023-08-27 23:30:07] PRINT [14,  6000] loss: 2.077
[2023-08-27 23:31:09] PRINT [15,  2000] loss: 2.060
[2023-08-27 23:32:02] PRINT [15,  4000] loss: 2.049
[2023-08-27 23:32:55] PRINT [15,  6000] loss: 2.036
[2023-08-27 23:33:58] PRINT [16,  2000] loss: 2.026
[2023-08-27 23:34:52] PRINT [16,  4000] loss: 2.012
[2023-08-27 23:35:44] PRINT [16,  6000] loss: 1.999
[2023-08-27 23:36:48] PRINT [17,  2000] loss: 1.993
[2023-08-27 23:37:44] PRINT [17,  4000] loss: 1.976
[2023-08-27 23:38:38] PRINT [17,  6000] loss: 1.956
[2023-08-27 23:39:42] PRINT [18,  2000] loss: 1.953
[2023-08-27 23:40:37] PRINT [18,  4000] loss: 1.934
[2023-08-27 23:41:32] PRINT [18,  6000] loss: 1.926
[2023-08-27 23:42:34] PRINT [19,  2000] loss: 1.911
[2023-08-27 23:43:31] PRINT [19,  4000] loss: 1.902
[2023-08-27 23:44:28] PRINT [19,  6000] loss: 1.883
[2023-08-27 23:45:32] PRINT [20,  2000] loss: 1.879
[2023-08-27 23:46:30] PRINT [20,  4000] loss: 1.852
[2023-08-27 23:47:27] PRINT [20,  6000] loss: 1.847
[2023-08-27 23:47:35] PRINT Finished Training
[2023-08-27 23:47:36] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 23:47:36] PRINT Predicted:  cat   ship  ship  ship 
[2023-08-27 23:48:14] PRINT Accuracy of the network on the 10000 test images: 34 %
[2023-08-27 23:48:53] PRINT Accuracy for class: plane is 50.4 %
[2023-08-27 23:48:53] PRINT Accuracy for class: car   is 49.8 %
[2023-08-27 23:48:53] PRINT Accuracy for class: bird  is 4.2 %
[2023-08-27 23:48:53] PRINT Accuracy for class: cat   is 8.7 %
[2023-08-27 23:48:53] PRINT Accuracy for class: deer  is 13.6 %
[2023-08-27 23:48:53] PRINT Accuracy for class: dog   is 36.1 %
[2023-08-27 23:48:53] PRINT Accuracy for class: frog  is 59.7 %
[2023-08-27 23:48:53] PRINT Accuracy for class: horse is 46.0 %
[2023-08-27 23:48:53] PRINT Accuracy for class: ship  is 32.2 %
[2023-08-27 23:48:53] PRINT Accuracy for class: truck is 40.5 %
