[2023-08-27 23:55:25] PRINT cuda
[2023-08-27 23:55:25] PRINT {'lr': 0.0024724673142795927, 'momentum': 0.31344560117709097, 'batch_size': 8}
[2023-08-27 23:55:25] PRINT Files already downloaded and verified
[2023-08-27 23:55:26] PRINT Files already downloaded and verified
[2023-08-27 23:56:29] PRINT [1,  2000] loss: 2.298
[2023-08-27 23:57:26] PRINT [1,  4000] loss: 2.157
[2023-08-27 23:58:24] PRINT [1,  6000] loss: 1.925
[2023-08-27 23:59:32] PRINT [2,  2000] loss: 1.776
[2023-08-28 00:00:30] PRINT [2,  4000] loss: 1.664
[2023-08-28 00:01:27] PRINT [2,  6000] loss: 1.585
[2023-08-28 00:02:34] PRINT [3,  2000] loss: 1.526
[2023-08-28 00:03:31] PRINT [3,  4000] loss: 1.470
[2023-08-28 00:04:28] PRINT [3,  6000] loss: 1.447
[2023-08-28 00:05:35] PRINT [4,  2000] loss: 1.404
[2023-08-28 00:06:33] PRINT [4,  4000] loss: 1.377
[2023-08-28 00:07:30] PRINT [4,  6000] loss: 1.339
[2023-08-28 00:08:37] PRINT [5,  2000] loss: 1.303
[2023-08-28 00:09:35] PRINT [5,  4000] loss: 1.286
[2023-08-28 00:10:32] PRINT [5,  6000] loss: 1.267
[2023-08-28 00:11:38] PRINT [6,  2000] loss: 1.214
[2023-08-28 00:12:36] PRINT [6,  4000] loss: 1.216
[2023-08-28 00:13:33] PRINT [6,  6000] loss: 1.194
[2023-08-28 00:14:40] PRINT [7,  2000] loss: 1.156
[2023-08-28 00:15:38] PRINT [7,  4000] loss: 1.139
[2023-08-28 00:16:35] PRINT [7,  6000] loss: 1.126
[2023-08-28 00:17:42] PRINT [8,  2000] loss: 1.099
[2023-08-28 00:18:39] PRINT [8,  4000] loss: 1.079
[2023-08-28 00:19:37] PRINT [8,  6000] loss: 1.076
[2023-08-28 00:20:44] PRINT [9,  2000] loss: 1.041
[2023-08-28 00:21:41] PRINT [9,  4000] loss: 1.032
[2023-08-28 00:22:39] PRINT [9,  6000] loss: 1.041
[2023-08-28 00:23:45] PRINT [10,  2000] loss: 0.982
[2023-08-28 00:24:43] PRINT [10,  4000] loss: 1.005
[2023-08-28 00:25:40] PRINT [10,  6000] loss: 0.996
[2023-08-28 00:26:47] PRINT [11,  2000] loss: 0.944
[2023-08-28 00:27:44] PRINT [11,  4000] loss: 0.962
[2023-08-28 00:28:42] PRINT [11,  6000] loss: 0.963
[2023-08-28 00:29:49] PRINT [12,  2000] loss: 0.924
[2023-08-28 00:30:46] PRINT [12,  4000] loss: 0.909
[2023-08-28 00:31:44] PRINT [12,  6000] loss: 0.925
[2023-08-28 00:32:50] PRINT [13,  2000] loss: 0.875
[2023-08-28 00:33:48] PRINT [13,  4000] loss: 0.898
[2023-08-28 00:34:45] PRINT [13,  6000] loss: 0.893
[2023-08-28 00:35:52] PRINT [14,  2000] loss: 0.848
[2023-08-28 00:36:50] PRINT [14,  4000] loss: 0.851
[2023-08-28 00:37:47] PRINT [14,  6000] loss: 0.872
[2023-08-28 00:38:55] PRINT [15,  2000] loss: 0.841
[2023-08-28 00:39:55] PRINT [15,  4000] loss: 0.825
[2023-08-28 00:40:53] PRINT [15,  6000] loss: 0.831
[2023-08-28 00:42:00] PRINT [16,  2000] loss: 0.794
[2023-08-28 00:42:59] PRINT [16,  4000] loss: 0.811
[2023-08-28 00:43:57] PRINT [16,  6000] loss: 0.815
[2023-08-28 00:45:03] PRINT [17,  2000] loss: 0.754
[2023-08-28 00:46:02] PRINT [17,  4000] loss: 0.791
[2023-08-28 00:47:02] PRINT [17,  6000] loss: 0.795
[2023-08-28 00:48:11] PRINT [18,  2000] loss: 0.746
[2023-08-28 00:49:11] PRINT [18,  4000] loss: 0.752
[2023-08-28 00:50:11] PRINT [18,  6000] loss: 0.775
[2023-08-28 00:51:17] PRINT [19,  2000] loss: 0.708
[2023-08-28 00:52:16] PRINT [19,  4000] loss: 0.752
[2023-08-28 00:53:14] PRINT [19,  6000] loss: 0.746
[2023-08-28 00:54:22] PRINT [20,  2000] loss: 0.703
[2023-08-28 00:55:17] PRINT [20,  4000] loss: 0.711
[2023-08-28 00:56:13] PRINT [20,  6000] loss: 0.726
[2023-08-28 00:56:20] PRINT Finished Training
[2023-08-28 00:56:21] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:56:21] PRINT Predicted:  cat   car   ship  ship 
[2023-08-28 00:57:00] PRINT Accuracy of the network on the 10000 test images: 65 %
[2023-08-28 00:57:38] PRINT Accuracy for class: plane is 67.1 %
[2023-08-28 00:57:38] PRINT Accuracy for class: car   is 79.8 %
[2023-08-28 00:57:38] PRINT Accuracy for class: bird  is 55.4 %
[2023-08-28 00:57:38] PRINT Accuracy for class: cat   is 48.5 %
[2023-08-28 00:57:38] PRINT Accuracy for class: deer  is 49.5 %
[2023-08-28 00:57:38] PRINT Accuracy for class: dog   is 43.8 %
[2023-08-28 00:57:38] PRINT Accuracy for class: frog  is 81.0 %
[2023-08-28 00:57:38] PRINT Accuracy for class: horse is 74.6 %
[2023-08-28 00:57:38] PRINT Accuracy for class: ship  is 81.4 %
[2023-08-28 00:57:38] PRINT Accuracy for class: truck is 77.0 %
