[2023-08-27 23:34:19] PRINT cuda
[2023-08-27 23:34:19] PRINT {'lr': 0.002008177327625121, 'momentum': 0.12792572735988433, 'batch_size': 8}
[2023-08-27 23:34:20] PRINT Files already downloaded and verified
[2023-08-27 23:34:21] PRINT Files already downloaded and verified
[2023-08-27 23:35:20] PRINT [1,  2000] loss: 2.302
[2023-08-27 23:36:14] PRINT [1,  4000] loss: 2.292
[2023-08-27 23:37:09] PRINT [1,  6000] loss: 2.213
[2023-08-27 23:38:12] PRINT [2,  2000] loss: 2.016
[2023-08-27 23:39:06] PRINT [2,  4000] loss: 1.855
[2023-08-27 23:40:00] PRINT [2,  6000] loss: 1.741
[2023-08-27 23:41:06] PRINT [3,  2000] loss: 1.662
[2023-08-27 23:41:59] PRINT [3,  4000] loss: 1.611
[2023-08-27 23:42:56] PRINT [3,  6000] loss: 1.576
[2023-08-27 23:44:03] PRINT [4,  2000] loss: 1.526
[2023-08-27 23:45:00] PRINT [4,  4000] loss: 1.495
[2023-08-27 23:45:56] PRINT [4,  6000] loss: 1.477
[2023-08-27 23:47:03] PRINT [5,  2000] loss: 1.450
[2023-08-27 23:48:00] PRINT [5,  4000] loss: 1.418
[2023-08-27 23:48:59] PRINT [5,  6000] loss: 1.387
[2023-08-27 23:50:06] PRINT [6,  2000] loss: 1.374
[2023-08-27 23:51:06] PRINT [6,  4000] loss: 1.367
[2023-08-27 23:52:06] PRINT [6,  6000] loss: 1.314
[2023-08-27 23:53:15] PRINT [7,  2000] loss: 1.315
[2023-08-27 23:54:16] PRINT [7,  4000] loss: 1.289
[2023-08-27 23:55:15] PRINT [7,  6000] loss: 1.274
[2023-08-27 23:56:18] PRINT [8,  2000] loss: 1.247
[2023-08-27 23:57:14] PRINT [8,  4000] loss: 1.241
[2023-08-27 23:58:12] PRINT [8,  6000] loss: 1.216
[2023-08-27 23:59:19] PRINT [9,  2000] loss: 1.188
[2023-08-28 00:00:16] PRINT [9,  4000] loss: 1.174
[2023-08-28 00:01:13] PRINT [9,  6000] loss: 1.188
[2023-08-28 00:02:20] PRINT [10,  2000] loss: 1.146
[2023-08-28 00:03:17] PRINT [10,  4000] loss: 1.136
[2023-08-28 00:04:14] PRINT [10,  6000] loss: 1.119
[2023-08-28 00:05:21] PRINT [11,  2000] loss: 1.094
[2023-08-28 00:06:19] PRINT [11,  4000] loss: 1.099
[2023-08-28 00:07:15] PRINT [11,  6000] loss: 1.095
[2023-08-28 00:08:22] PRINT [12,  2000] loss: 1.051
[2023-08-28 00:09:18] PRINT [12,  4000] loss: 1.060
[2023-08-28 00:10:15] PRINT [12,  6000] loss: 1.062
[2023-08-28 00:11:21] PRINT [13,  2000] loss: 1.010
[2023-08-28 00:12:18] PRINT [13,  4000] loss: 1.029
[2023-08-28 00:13:14] PRINT [13,  6000] loss: 1.028
[2023-08-28 00:14:21] PRINT [14,  2000] loss: 0.993
[2023-08-28 00:15:18] PRINT [14,  4000] loss: 0.996
[2023-08-28 00:16:15] PRINT [14,  6000] loss: 0.989
[2023-08-28 00:17:22] PRINT [15,  2000] loss: 0.961
[2023-08-28 00:18:19] PRINT [15,  4000] loss: 0.959
[2023-08-28 00:19:16] PRINT [15,  6000] loss: 0.973
[2023-08-28 00:20:22] PRINT [16,  2000] loss: 0.943
[2023-08-28 00:21:19] PRINT [16,  4000] loss: 0.930
[2023-08-28 00:22:16] PRINT [16,  6000] loss: 0.942
[2023-08-28 00:23:22] PRINT [17,  2000] loss: 0.905
[2023-08-28 00:24:18] PRINT [17,  4000] loss: 0.920
[2023-08-28 00:25:15] PRINT [17,  6000] loss: 0.912
[2023-08-28 00:26:22] PRINT [18,  2000] loss: 0.879
[2023-08-28 00:27:19] PRINT [18,  4000] loss: 0.889
[2023-08-28 00:28:15] PRINT [18,  6000] loss: 0.898
[2023-08-28 00:29:22] PRINT [19,  2000] loss: 0.845
[2023-08-28 00:30:20] PRINT [19,  4000] loss: 0.870
[2023-08-28 00:31:16] PRINT [19,  6000] loss: 0.873
[2023-08-28 00:32:22] PRINT [20,  2000] loss: 0.830
[2023-08-28 00:33:19] PRINT [20,  4000] loss: 0.845
[2023-08-28 00:34:15] PRINT [20,  6000] loss: 0.854
[2023-08-28 00:34:23] PRINT Finished Training
[2023-08-28 00:34:24] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:34:24] PRINT Predicted:  cat   ship  plane plane
[2023-08-28 00:35:02] PRINT Accuracy of the network on the 10000 test images: 65 %
[2023-08-28 00:35:41] PRINT Accuracy for class: plane is 68.5 %
[2023-08-28 00:35:41] PRINT Accuracy for class: car   is 72.1 %
[2023-08-28 00:35:41] PRINT Accuracy for class: bird  is 60.2 %
[2023-08-28 00:35:41] PRINT Accuracy for class: cat   is 38.5 %
[2023-08-28 00:35:41] PRINT Accuracy for class: deer  is 68.3 %
[2023-08-28 00:35:41] PRINT Accuracy for class: dog   is 49.3 %
[2023-08-28 00:35:41] PRINT Accuracy for class: frog  is 76.4 %
[2023-08-28 00:35:41] PRINT Accuracy for class: horse is 71.0 %
[2023-08-28 00:35:41] PRINT Accuracy for class: ship  is 77.9 %
[2023-08-28 00:35:41] PRINT Accuracy for class: truck is 72.0 %
