[2023-08-27 23:56:10] PRINT cuda
[2023-08-27 23:56:10] PRINT {'lr': 0.0009675314985111423, 'momentum': 0.5987622955276228, 'batch_size': 8}
[2023-08-27 23:56:10] PRINT Files already downloaded and verified
[2023-08-27 23:56:11] PRINT Files already downloaded and verified
[2023-08-27 23:57:13] PRINT [1,  2000] loss: 2.298
[2023-08-27 23:58:08] PRINT [1,  4000] loss: 2.212
[2023-08-27 23:59:05] PRINT [1,  6000] loss: 2.010
[2023-08-28 00:00:10] PRINT [2,  2000] loss: 1.896
[2023-08-28 00:01:08] PRINT [2,  4000] loss: 1.795
[2023-08-28 00:02:06] PRINT [2,  6000] loss: 1.686
[2023-08-28 00:03:12] PRINT [3,  2000] loss: 1.592
[2023-08-28 00:04:07] PRINT [3,  4000] loss: 1.545
[2023-08-28 00:05:04] PRINT [3,  6000] loss: 1.512
[2023-08-28 00:06:10] PRINT [4,  2000] loss: 1.471
[2023-08-28 00:07:07] PRINT [4,  4000] loss: 1.436
[2023-08-28 00:08:04] PRINT [4,  6000] loss: 1.419
[2023-08-28 00:09:09] PRINT [5,  2000] loss: 1.379
[2023-08-28 00:10:06] PRINT [5,  4000] loss: 1.376
[2023-08-28 00:11:03] PRINT [5,  6000] loss: 1.339
[2023-08-28 00:12:09] PRINT [6,  2000] loss: 1.314
[2023-08-28 00:13:06] PRINT [6,  4000] loss: 1.298
[2023-08-28 00:14:02] PRINT [6,  6000] loss: 1.293
[2023-08-28 00:15:08] PRINT [7,  2000] loss: 1.259
[2023-08-28 00:16:04] PRINT [7,  4000] loss: 1.258
[2023-08-28 00:17:01] PRINT [7,  6000] loss: 1.227
[2023-08-28 00:18:06] PRINT [8,  2000] loss: 1.214
[2023-08-28 00:19:03] PRINT [8,  4000] loss: 1.194
[2023-08-28 00:20:00] PRINT [8,  6000] loss: 1.197
[2023-08-28 00:21:05] PRINT [9,  2000] loss: 1.159
[2023-08-28 00:22:02] PRINT [9,  4000] loss: 1.167
[2023-08-28 00:22:59] PRINT [9,  6000] loss: 1.160
[2023-08-28 00:24:05] PRINT [10,  2000] loss: 1.129
[2023-08-28 00:25:03] PRINT [10,  4000] loss: 1.107
[2023-08-28 00:26:01] PRINT [10,  6000] loss: 1.127
[2023-08-28 00:27:06] PRINT [11,  2000] loss: 1.088
[2023-08-28 00:28:03] PRINT [11,  4000] loss: 1.095
[2023-08-28 00:29:00] PRINT [11,  6000] loss: 1.071
[2023-08-28 00:30:07] PRINT [12,  2000] loss: 1.055
[2023-08-28 00:31:04] PRINT [12,  4000] loss: 1.049
[2023-08-28 00:32:01] PRINT [12,  6000] loss: 1.050
[2023-08-28 00:33:07] PRINT [13,  2000] loss: 1.014
[2023-08-28 00:34:03] PRINT [13,  4000] loss: 1.022
[2023-08-28 00:35:01] PRINT [13,  6000] loss: 1.027
[2023-08-28 00:36:06] PRINT [14,  2000] loss: 0.981
[2023-08-28 00:37:02] PRINT [14,  4000] loss: 0.993
[2023-08-28 00:38:00] PRINT [14,  6000] loss: 0.994
[2023-08-28 00:39:07] PRINT [15,  2000] loss: 0.960
[2023-08-28 00:40:05] PRINT [15,  4000] loss: 0.961
[2023-08-28 00:41:03] PRINT [15,  6000] loss: 0.962
[2023-08-28 00:42:10] PRINT [16,  2000] loss: 0.930
[2023-08-28 00:43:08] PRINT [16,  4000] loss: 0.935
[2023-08-28 00:44:04] PRINT [16,  6000] loss: 0.936
[2023-08-28 00:45:12] PRINT [17,  2000] loss: 0.910
[2023-08-28 00:46:10] PRINT [17,  4000] loss: 0.903
[2023-08-28 00:47:10] PRINT [17,  6000] loss: 0.921
[2023-08-28 00:48:19] PRINT [18,  2000] loss: 0.871
[2023-08-28 00:49:17] PRINT [18,  4000] loss: 0.889
[2023-08-28 00:50:16] PRINT [18,  6000] loss: 0.900
[2023-08-28 00:51:23] PRINT [19,  2000] loss: 0.847
[2023-08-28 00:52:20] PRINT [19,  4000] loss: 0.871
[2023-08-28 00:53:18] PRINT [19,  6000] loss: 0.875
[2023-08-28 00:54:26] PRINT [20,  2000] loss: 0.833
[2023-08-28 00:55:21] PRINT [20,  4000] loss: 0.846
[2023-08-28 00:56:16] PRINT [20,  6000] loss: 0.851
[2023-08-28 00:56:23] PRINT Finished Training
[2023-08-28 00:56:24] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 00:56:24] PRINT Predicted:  cat   car   ship  ship 
[2023-08-28 00:57:02] PRINT Accuracy of the network on the 10000 test images: 64 %
[2023-08-28 00:57:39] PRINT Accuracy for class: plane is 68.6 %
[2023-08-28 00:57:39] PRINT Accuracy for class: car   is 77.5 %
[2023-08-28 00:57:39] PRINT Accuracy for class: bird  is 45.4 %
[2023-08-28 00:57:39] PRINT Accuracy for class: cat   is 45.9 %
[2023-08-28 00:57:39] PRINT Accuracy for class: deer  is 63.4 %
[2023-08-28 00:57:39] PRINT Accuracy for class: dog   is 54.7 %
[2023-08-28 00:57:39] PRINT Accuracy for class: frog  is 76.7 %
[2023-08-28 00:57:39] PRINT Accuracy for class: horse is 68.7 %
[2023-08-28 00:57:39] PRINT Accuracy for class: ship  is 78.4 %
[2023-08-28 00:57:39] PRINT Accuracy for class: truck is 70.3 %
