[2023-08-28 00:57:55] PRINT cuda
[2023-08-28 00:57:55] PRINT {'lr': 0.0013183490697340878, 'momentum': 0.6976162306192255, 'batch_size': 8}
[2023-08-28 00:57:56] PRINT Files already downloaded and verified
[2023-08-28 00:57:57] PRINT Files already downloaded and verified
[2023-08-28 00:58:58] PRINT [1,  2000] loss: 2.299
[2023-08-28 00:59:54] PRINT [1,  4000] loss: 2.153
[2023-08-28 01:00:49] PRINT [1,  6000] loss: 1.857
[2023-08-28 01:01:55] PRINT [2,  2000] loss: 1.702
[2023-08-28 01:02:51] PRINT [2,  4000] loss: 1.617
[2023-08-28 01:03:46] PRINT [2,  6000] loss: 1.549
[2023-08-28 01:04:53] PRINT [3,  2000] loss: 1.492
[2023-08-28 01:05:50] PRINT [3,  4000] loss: 1.447
[2023-08-28 01:06:47] PRINT [3,  6000] loss: 1.403
[2023-08-28 01:07:54] PRINT [4,  2000] loss: 1.359
[2023-08-28 01:08:51] PRINT [4,  4000] loss: 1.337
[2023-08-28 01:09:47] PRINT [4,  6000] loss: 1.316
[2023-08-28 01:10:52] PRINT [5,  2000] loss: 1.264
[2023-08-28 01:11:48] PRINT [5,  4000] loss: 1.250
[2023-08-28 01:12:44] PRINT [5,  6000] loss: 1.240
[2023-08-28 01:13:49] PRINT [6,  2000] loss: 1.199
[2023-08-28 01:14:45] PRINT [6,  4000] loss: 1.181
[2023-08-28 01:15:40] PRINT [6,  6000] loss: 1.163
[2023-08-28 01:16:44] PRINT [7,  2000] loss: 1.118
[2023-08-28 01:17:41] PRINT [7,  4000] loss: 1.130
[2023-08-28 01:18:37] PRINT [7,  6000] loss: 1.115
[2023-08-28 01:19:41] PRINT [8,  2000] loss: 1.067
[2023-08-28 01:20:38] PRINT [8,  4000] loss: 1.088
[2023-08-28 01:21:34] PRINT [8,  6000] loss: 1.061
[2023-08-28 01:22:39] PRINT [9,  2000] loss: 1.021
[2023-08-28 01:23:35] PRINT [9,  4000] loss: 1.030
[2023-08-28 01:24:31] PRINT [9,  6000] loss: 1.025
[2023-08-28 01:25:36] PRINT [10,  2000] loss: 0.985
[2023-08-28 01:26:32] PRINT [10,  4000] loss: 0.974
[2023-08-28 01:27:29] PRINT [10,  6000] loss: 1.002
[2023-08-28 01:28:34] PRINT [11,  2000] loss: 0.941
[2023-08-28 01:29:30] PRINT [11,  4000] loss: 0.931
[2023-08-28 01:30:26] PRINT [11,  6000] loss: 0.967
[2023-08-28 01:31:32] PRINT [12,  2000] loss: 0.900
[2023-08-28 01:32:27] PRINT [12,  4000] loss: 0.917
[2023-08-28 01:33:23] PRINT [12,  6000] loss: 0.920
[2023-08-28 01:34:28] PRINT [13,  2000] loss: 0.869
[2023-08-28 01:35:24] PRINT [13,  4000] loss: 0.883
[2023-08-28 01:36:20] PRINT [13,  6000] loss: 0.886
[2023-08-28 01:37:23] PRINT [14,  2000] loss: 0.842
[2023-08-28 01:38:14] PRINT [14,  4000] loss: 0.857
[2023-08-28 01:39:03] PRINT [14,  6000] loss: 0.850
[2023-08-28 01:40:03] PRINT [15,  2000] loss: 0.802
[2023-08-28 01:40:53] PRINT [15,  4000] loss: 0.832
[2023-08-28 01:41:44] PRINT [15,  6000] loss: 0.835
[2023-08-28 01:42:42] PRINT [16,  2000] loss: 0.786
[2023-08-28 01:43:33] PRINT [16,  4000] loss: 0.797
[2023-08-28 01:44:23] PRINT [16,  6000] loss: 0.807
[2023-08-28 01:45:15] PRINT [17,  2000] loss: 0.747
[2023-08-28 01:45:59] PRINT [17,  4000] loss: 0.768
[2023-08-28 01:46:43] PRINT [17,  6000] loss: 0.789
[2023-08-28 01:47:35] PRINT [18,  2000] loss: 0.723
[2023-08-28 01:48:19] PRINT [18,  4000] loss: 0.755
[2023-08-28 01:48:59] PRINT [18,  6000] loss: 0.759
[2023-08-28 01:49:44] PRINT [19,  2000] loss: 0.700
[2023-08-28 01:50:17] PRINT [19,  4000] loss: 0.720
[2023-08-28 01:50:49] PRINT [19,  6000] loss: 0.748
[2023-08-28 01:51:28] PRINT [20,  2000] loss: 0.672
[2023-08-28 01:51:56] PRINT [20,  4000] loss: 0.712
[2023-08-28 01:52:23] PRINT [20,  6000] loss: 0.704
[2023-08-28 01:52:26] PRINT Finished Training
[2023-08-28 01:52:27] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-28 01:52:27] PRINT Predicted:  cat   car   plane plane
[2023-08-28 01:52:42] PRINT Accuracy of the network on the 10000 test images: 63 %
[2023-08-28 01:52:55] PRINT Accuracy for class: plane is 59.3 %
[2023-08-28 01:52:55] PRINT Accuracy for class: car   is 83.4 %
[2023-08-28 01:52:55] PRINT Accuracy for class: bird  is 54.6 %
[2023-08-28 01:52:55] PRINT Accuracy for class: cat   is 51.0 %
[2023-08-28 01:52:55] PRINT Accuracy for class: deer  is 46.5 %
[2023-08-28 01:52:55] PRINT Accuracy for class: dog   is 39.1 %
[2023-08-28 01:52:55] PRINT Accuracy for class: frog  is 72.6 %
[2023-08-28 01:52:55] PRINT Accuracy for class: horse is 75.8 %
[2023-08-28 01:52:55] PRINT Accuracy for class: ship  is 74.7 %
[2023-08-28 01:52:55] PRINT Accuracy for class: truck is 73.3 %
