[2023-08-27 20:43:09] PRINT cuda
[2023-08-27 20:43:09] PRINT {'lr': 0.0350770297953833, 'momentum': 0.2850773966339556, 'batch_size': 8}
[2023-08-27 20:43:09] PRINT Files already downloaded and verified
[2023-08-27 20:43:11] PRINT Files already downloaded and verified
[2023-08-27 20:44:17] PRINT [1,  2000] loss: 1.873
[2023-08-27 20:45:09] PRINT [1,  4000] loss: 1.575
[2023-08-27 20:46:02] PRINT [1,  6000] loss: 1.482
[2023-08-27 20:47:03] PRINT [2,  2000] loss: 1.404
[2023-08-27 20:47:55] PRINT [2,  4000] loss: 1.396
[2023-08-27 20:48:46] PRINT [2,  6000] loss: 1.361
[2023-08-27 20:49:47] PRINT [3,  2000] loss: 1.307
[2023-08-27 20:50:37] PRINT [3,  4000] loss: 1.311
[2023-08-27 20:51:29] PRINT [3,  6000] loss: 1.299
[2023-08-27 20:52:28] PRINT [4,  2000] loss: 1.232
[2023-08-27 20:53:19] PRINT [4,  4000] loss: 1.239
[2023-08-27 20:54:11] PRINT [4,  6000] loss: 1.261
[2023-08-27 20:55:10] PRINT [5,  2000] loss: 1.191
[2023-08-27 20:56:02] PRINT [5,  4000] loss: 1.213
[2023-08-27 20:56:54] PRINT [5,  6000] loss: 1.232
[2023-08-27 20:57:53] PRINT [6,  2000] loss: 1.151
[2023-08-27 20:58:44] PRINT [6,  4000] loss: 1.199
[2023-08-27 20:59:36] PRINT [6,  6000] loss: 1.213
[2023-08-27 21:00:36] PRINT [7,  2000] loss: 1.124
[2023-08-27 21:01:28] PRINT [7,  4000] loss: 1.165
[2023-08-27 21:02:20] PRINT [7,  6000] loss: 1.181
[2023-08-27 21:03:20] PRINT [8,  2000] loss: 1.117
[2023-08-27 21:04:12] PRINT [8,  4000] loss: 1.148
[2023-08-27 21:05:04] PRINT [8,  6000] loss: 1.185
[2023-08-27 21:06:04] PRINT [9,  2000] loss: 1.108
[2023-08-27 21:06:55] PRINT [9,  4000] loss: 1.140
[2023-08-27 21:07:46] PRINT [9,  6000] loss: 1.168
[2023-08-27 21:08:45] PRINT [10,  2000] loss: 1.100
[2023-08-27 21:09:37] PRINT [10,  4000] loss: 1.127
[2023-08-27 21:10:29] PRINT [10,  6000] loss: 1.160
[2023-08-27 21:11:31] PRINT [11,  2000] loss: 1.081
[2023-08-27 21:12:24] PRINT [11,  4000] loss: 1.142
[2023-08-27 21:13:15] PRINT [11,  6000] loss: 1.163
[2023-08-27 21:14:15] PRINT [12,  2000] loss: 1.082
[2023-08-27 21:15:07] PRINT [12,  4000] loss: 1.131
[2023-08-27 21:15:58] PRINT [12,  6000] loss: 1.143
[2023-08-27 21:16:58] PRINT [13,  2000] loss: 1.100
[2023-08-27 21:17:48] PRINT [13,  4000] loss: 1.127
[2023-08-27 21:18:39] PRINT [13,  6000] loss: 1.126
[2023-08-27 21:19:39] PRINT [14,  2000] loss: 1.073
[2023-08-27 21:20:29] PRINT [14,  4000] loss: 1.130
[2023-08-27 21:21:20] PRINT [14,  6000] loss: 1.141
[2023-08-27 21:22:20] PRINT [15,  2000] loss: 1.056
[2023-08-27 21:23:12] PRINT [15,  4000] loss: 1.098
[2023-08-27 21:24:02] PRINT [15,  6000] loss: 1.147
[2023-08-27 21:25:03] PRINT [16,  2000] loss: 1.067
[2023-08-27 21:25:55] PRINT [16,  4000] loss: 1.098
[2023-08-27 21:26:45] PRINT [16,  6000] loss: 1.131
[2023-08-27 21:27:46] PRINT [17,  2000] loss: 1.087
[2023-08-27 21:28:38] PRINT [17,  4000] loss: 1.109
[2023-08-27 21:29:30] PRINT [17,  6000] loss: 1.122
[2023-08-27 21:30:30] PRINT [18,  2000] loss: 1.053
[2023-08-27 21:31:21] PRINT [18,  4000] loss: 1.123
[2023-08-27 21:32:13] PRINT [18,  6000] loss: 1.133
[2023-08-27 21:33:13] PRINT [19,  2000] loss: 1.060
[2023-08-27 21:34:04] PRINT [19,  4000] loss: 1.123
[2023-08-27 21:34:57] PRINT [19,  6000] loss: 1.141
[2023-08-27 21:35:57] PRINT [20,  2000] loss: 1.058
[2023-08-27 21:36:42] PRINT [20,  4000] loss: 1.127
[2023-08-27 21:37:39] PRINT [20,  6000] loss: 1.136
[2023-08-27 21:37:47] PRINT Finished Training
[2023-08-27 21:37:47] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 21:37:47] PRINT Predicted:  cat   truck plane plane
[2023-08-27 21:38:26] PRINT Accuracy of the network on the 10000 test images: 55 %
[2023-08-27 21:39:05] PRINT Accuracy for class: plane is 62.6 %
[2023-08-27 21:39:05] PRINT Accuracy for class: car   is 59.3 %
[2023-08-27 21:39:05] PRINT Accuracy for class: bird  is 42.4 %
[2023-08-27 21:39:05] PRINT Accuracy for class: cat   is 45.6 %
[2023-08-27 21:39:05] PRINT Accuracy for class: deer  is 47.5 %
[2023-08-27 21:39:05] PRINT Accuracy for class: dog   is 38.4 %
[2023-08-27 21:39:05] PRINT Accuracy for class: frog  is 67.4 %
[2023-08-27 21:39:05] PRINT Accuracy for class: horse is 63.1 %
[2023-08-27 21:39:05] PRINT Accuracy for class: ship  is 60.9 %
[2023-08-27 21:39:05] PRINT Accuracy for class: truck is 68.3 %
