[2023-08-27 21:46:38] PRINT cuda
[2023-08-27 21:46:38] PRINT {'lr': 0.00032867134192243015, 'momentum': 0.93615753316241, 'batch_size': 8}
[2023-08-27 21:46:39] PRINT Files already downloaded and verified
[2023-08-27 21:46:40] PRINT Files already downloaded and verified
[2023-08-27 21:47:45] PRINT [1,  2000] loss: 2.292
[2023-08-27 21:48:43] PRINT [1,  4000] loss: 2.030
[2023-08-27 21:49:40] PRINT [1,  6000] loss: 1.780
[2023-08-27 21:50:48] PRINT [2,  2000] loss: 1.617
[2023-08-27 21:51:47] PRINT [2,  4000] loss: 1.552
[2023-08-27 21:52:45] PRINT [2,  6000] loss: 1.492
[2023-08-27 21:53:53] PRINT [3,  2000] loss: 1.419
[2023-08-27 21:54:51] PRINT [3,  4000] loss: 1.380
[2023-08-27 21:55:49] PRINT [3,  6000] loss: 1.361
[2023-08-27 21:56:58] PRINT [4,  2000] loss: 1.297
[2023-08-27 21:57:58] PRINT [4,  4000] loss: 1.265
[2023-08-27 21:58:56] PRINT [4,  6000] loss: 1.245
[2023-08-27 22:00:03] PRINT [5,  2000] loss: 1.204
[2023-08-27 22:01:03] PRINT [5,  4000] loss: 1.168
[2023-08-27 22:02:01] PRINT [5,  6000] loss: 1.173
[2023-08-27 22:03:09] PRINT [6,  2000] loss: 1.129
[2023-08-27 22:04:08] PRINT [6,  4000] loss: 1.112
[2023-08-27 22:05:07] PRINT [6,  6000] loss: 1.113
[2023-08-27 22:06:14] PRINT [7,  2000] loss: 1.058
[2023-08-27 22:07:13] PRINT [7,  4000] loss: 1.074
[2023-08-27 22:08:13] PRINT [7,  6000] loss: 1.048
[2023-08-27 22:09:20] PRINT [8,  2000] loss: 1.005
[2023-08-27 22:10:18] PRINT [8,  4000] loss: 1.008
[2023-08-27 22:11:18] PRINT [8,  6000] loss: 1.005
[2023-08-27 22:12:26] PRINT [9,  2000] loss: 0.955
[2023-08-27 22:13:23] PRINT [9,  4000] loss: 0.953
[2023-08-27 22:14:21] PRINT [9,  6000] loss: 0.979
[2023-08-27 22:15:30] PRINT [10,  2000] loss: 0.906
[2023-08-27 22:16:28] PRINT [10,  4000] loss: 0.929
[2023-08-27 22:17:26] PRINT [10,  6000] loss: 0.918
[2023-08-27 22:18:36] PRINT [11,  2000] loss: 0.876
[2023-08-27 22:19:34] PRINT [11,  4000] loss: 0.884
[2023-08-27 22:20:33] PRINT [11,  6000] loss: 0.883
[2023-08-27 22:21:41] PRINT [12,  2000] loss: 0.833
[2023-08-27 22:22:39] PRINT [12,  4000] loss: 0.843
[2023-08-27 22:23:38] PRINT [12,  6000] loss: 0.857
[2023-08-27 22:24:45] PRINT [13,  2000] loss: 0.800
[2023-08-27 22:25:44] PRINT [13,  4000] loss: 0.814
[2023-08-27 22:26:42] PRINT [13,  6000] loss: 0.821
[2023-08-27 22:27:50] PRINT [14,  2000] loss: 0.760
[2023-08-27 22:28:50] PRINT [14,  4000] loss: 0.781
[2023-08-27 22:29:49] PRINT [14,  6000] loss: 0.799
[2023-08-27 22:30:56] PRINT [15,  2000] loss: 0.728
[2023-08-27 22:31:56] PRINT [15,  4000] loss: 0.746
[2023-08-27 22:32:55] PRINT [15,  6000] loss: 0.784
[2023-08-27 22:34:03] PRINT [16,  2000] loss: 0.696
[2023-08-27 22:35:01] PRINT [16,  4000] loss: 0.733
[2023-08-27 22:36:01] PRINT [16,  6000] loss: 0.739
[2023-08-27 22:37:09] PRINT [17,  2000] loss: 0.667
[2023-08-27 22:38:07] PRINT [17,  4000] loss: 0.693
[2023-08-27 22:39:06] PRINT [17,  6000] loss: 0.732
[2023-08-27 22:40:12] PRINT [18,  2000] loss: 0.651
[2023-08-27 22:41:09] PRINT [18,  4000] loss: 0.678
[2023-08-27 22:42:08] PRINT [18,  6000] loss: 0.695
[2023-08-27 22:43:15] PRINT [19,  2000] loss: 0.627
[2023-08-27 22:44:13] PRINT [19,  4000] loss: 0.657
[2023-08-27 22:45:11] PRINT [19,  6000] loss: 0.667
[2023-08-27 22:46:19] PRINT [20,  2000] loss: 0.595
[2023-08-27 22:47:10] PRINT [20,  4000] loss: 0.634
[2023-08-27 22:48:03] PRINT [20,  6000] loss: 0.653
[2023-08-27 22:48:11] PRINT Finished Training
[2023-08-27 22:48:11] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 22:48:11] PRINT Predicted:  cat   ship  plane ship 
[2023-08-27 22:48:47] PRINT Accuracy of the network on the 10000 test images: 65 %
[2023-08-27 22:49:22] PRINT Accuracy for class: plane is 73.4 %
[2023-08-27 22:49:22] PRINT Accuracy for class: car   is 80.9 %
[2023-08-27 22:49:22] PRINT Accuracy for class: bird  is 47.4 %
[2023-08-27 22:49:22] PRINT Accuracy for class: cat   is 49.5 %
[2023-08-27 22:49:22] PRINT Accuracy for class: deer  is 57.1 %
[2023-08-27 22:49:22] PRINT Accuracy for class: dog   is 49.8 %
[2023-08-27 22:49:22] PRINT Accuracy for class: frog  is 71.2 %
[2023-08-27 22:49:22] PRINT Accuracy for class: horse is 68.5 %
[2023-08-27 22:49:22] PRINT Accuracy for class: ship  is 81.3 %
[2023-08-27 22:49:22] PRINT Accuracy for class: truck is 71.6 %
