[2023-08-27 21:35:58] PRINT cuda
[2023-08-27 21:35:58] PRINT {'lr': 0.00015529668788049936, 'momentum': 0.7218189389027712, 'batch_size': 8}
[2023-08-27 21:35:59] PRINT Files already downloaded and verified
[2023-08-27 21:36:00] PRINT Files already downloaded and verified
[2023-08-27 21:36:52] PRINT [1,  2000] loss: 2.305
[2023-08-27 21:37:50] PRINT [1,  4000] loss: 2.302
[2023-08-27 21:38:48] PRINT [1,  6000] loss: 2.299
[2023-08-27 21:39:51] PRINT [2,  2000] loss: 2.295
[2023-08-27 21:40:49] PRINT [2,  4000] loss: 2.286
[2023-08-27 21:41:49] PRINT [2,  6000] loss: 2.272
[2023-08-27 21:43:00] PRINT [3,  2000] loss: 2.235
[2023-08-27 21:44:01] PRINT [3,  4000] loss: 2.177
[2023-08-27 21:45:02] PRINT [3,  6000] loss: 2.120
[2023-08-27 21:46:11] PRINT [4,  2000] loss: 2.083
[2023-08-27 21:47:08] PRINT [4,  4000] loss: 2.040
[2023-08-27 21:48:06] PRINT [4,  6000] loss: 1.998
[2023-08-27 21:49:14] PRINT [5,  2000] loss: 1.960
[2023-08-27 21:50:14] PRINT [5,  4000] loss: 1.922
[2023-08-27 21:51:12] PRINT [5,  6000] loss: 1.881
[2023-08-27 21:52:20] PRINT [6,  2000] loss: 1.846
[2023-08-27 21:53:18] PRINT [6,  4000] loss: 1.817
[2023-08-27 21:54:17] PRINT [6,  6000] loss: 1.786
[2023-08-27 21:55:25] PRINT [7,  2000] loss: 1.749
[2023-08-27 21:56:24] PRINT [7,  4000] loss: 1.733
[2023-08-27 21:57:23] PRINT [7,  6000] loss: 1.718
[2023-08-27 21:58:30] PRINT [8,  2000] loss: 1.678
[2023-08-27 21:59:29] PRINT [8,  4000] loss: 1.674
[2023-08-27 22:00:27] PRINT [8,  6000] loss: 1.642
[2023-08-27 22:01:36] PRINT [9,  2000] loss: 1.611
[2023-08-27 22:02:35] PRINT [9,  4000] loss: 1.608
[2023-08-27 22:03:32] PRINT [9,  6000] loss: 1.598
[2023-08-27 22:04:42] PRINT [10,  2000] loss: 1.566
[2023-08-27 22:05:40] PRINT [10,  4000] loss: 1.554
[2023-08-27 22:06:38] PRINT [10,  6000] loss: 1.545
[2023-08-27 22:07:47] PRINT [11,  2000] loss: 1.531
[2023-08-27 22:08:45] PRINT [11,  4000] loss: 1.521
[2023-08-27 22:09:43] PRINT [11,  6000] loss: 1.495
[2023-08-27 22:10:51] PRINT [12,  2000] loss: 1.492
[2023-08-27 22:11:51] PRINT [12,  4000] loss: 1.479
[2023-08-27 22:12:49] PRINT [12,  6000] loss: 1.480
[2023-08-27 22:13:57] PRINT [13,  2000] loss: 1.456
[2023-08-27 22:14:57] PRINT [13,  4000] loss: 1.456
[2023-08-27 22:15:55] PRINT [13,  6000] loss: 1.451
[2023-08-27 22:17:03] PRINT [14,  2000] loss: 1.437
[2023-08-27 22:18:02] PRINT [14,  4000] loss: 1.420
[2023-08-27 22:19:01] PRINT [14,  6000] loss: 1.421
[2023-08-27 22:20:08] PRINT [15,  2000] loss: 1.414
[2023-08-27 22:21:06] PRINT [15,  4000] loss: 1.394
[2023-08-27 22:22:05] PRINT [15,  6000] loss: 1.392
[2023-08-27 22:23:14] PRINT [16,  2000] loss: 1.386
[2023-08-27 22:24:11] PRINT [16,  4000] loss: 1.372
[2023-08-27 22:25:11] PRINT [16,  6000] loss: 1.366
[2023-08-27 22:26:18] PRINT [17,  2000] loss: 1.358
[2023-08-27 22:27:16] PRINT [17,  4000] loss: 1.339
[2023-08-27 22:28:15] PRINT [17,  6000] loss: 1.353
[2023-08-27 22:29:23] PRINT [18,  2000] loss: 1.345
[2023-08-27 22:30:22] PRINT [18,  4000] loss: 1.324
[2023-08-27 22:31:20] PRINT [18,  6000] loss: 1.317
[2023-08-27 22:32:29] PRINT [19,  2000] loss: 1.309
[2023-08-27 22:33:27] PRINT [19,  4000] loss: 1.323
[2023-08-27 22:34:25] PRINT [19,  6000] loss: 1.292
[2023-08-27 22:35:34] PRINT [20,  2000] loss: 1.283
[2023-08-27 22:36:33] PRINT [20,  4000] loss: 1.297
[2023-08-27 22:37:32] PRINT [20,  6000] loss: 1.284
[2023-08-27 22:37:40] PRINT Finished Training
[2023-08-27 22:37:41] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 22:37:41] PRINT Predicted:  cat   ship  car   ship 
[2023-08-27 22:38:19] PRINT Accuracy of the network on the 10000 test images: 53 %
[2023-08-27 22:38:59] PRINT Accuracy for class: plane is 55.1 %
[2023-08-27 22:38:59] PRINT Accuracy for class: car   is 53.6 %
[2023-08-27 22:38:59] PRINT Accuracy for class: bird  is 30.2 %
[2023-08-27 22:38:59] PRINT Accuracy for class: cat   is 35.1 %
[2023-08-27 22:38:59] PRINT Accuracy for class: deer  is 36.8 %
[2023-08-27 22:38:59] PRINT Accuracy for class: dog   is 51.6 %
[2023-08-27 22:38:59] PRINT Accuracy for class: frog  is 66.5 %
[2023-08-27 22:38:59] PRINT Accuracy for class: horse is 61.5 %
[2023-08-27 22:38:59] PRINT Accuracy for class: ship  is 73.7 %
[2023-08-27 22:38:59] PRINT Accuracy for class: truck is 69.9 %
