[2023-08-27 20:43:09] PRINT cuda
[2023-08-27 20:43:09] PRINT {'lr': 0.0002621036880293237, 'momentum': 0.3856662028562995, 'batch_size': 8}
[2023-08-27 20:43:09] PRINT Files already downloaded and verified
[2023-08-27 20:43:11] PRINT Files already downloaded and verified
[2023-08-27 20:44:17] PRINT [1,  2000] loss: 2.303
[2023-08-27 20:45:08] PRINT [1,  4000] loss: 2.300
[2023-08-27 20:46:01] PRINT [1,  6000] loss: 2.299
[2023-08-27 20:47:01] PRINT [2,  2000] loss: 2.294
[2023-08-27 20:47:53] PRINT [2,  4000] loss: 2.288
[2023-08-27 20:48:45] PRINT [2,  6000] loss: 2.279
[2023-08-27 20:49:45] PRINT [3,  2000] loss: 2.260
[2023-08-27 20:50:36] PRINT [3,  4000] loss: 2.236
[2023-08-27 20:51:28] PRINT [3,  6000] loss: 2.207
[2023-08-27 20:52:27] PRINT [4,  2000] loss: 2.175
[2023-08-27 20:53:19] PRINT [4,  4000] loss: 2.146
[2023-08-27 20:54:11] PRINT [4,  6000] loss: 2.108
[2023-08-27 20:55:10] PRINT [5,  2000] loss: 2.065
[2023-08-27 20:56:01] PRINT [5,  4000] loss: 2.040
[2023-08-27 20:56:53] PRINT [5,  6000] loss: 2.010
[2023-08-27 20:57:52] PRINT [6,  2000] loss: 1.988
[2023-08-27 20:58:44] PRINT [6,  4000] loss: 1.959
[2023-08-27 20:59:36] PRINT [6,  6000] loss: 1.938
[2023-08-27 21:00:36] PRINT [7,  2000] loss: 1.901
[2023-08-27 21:01:27] PRINT [7,  4000] loss: 1.869
[2023-08-27 21:02:20] PRINT [7,  6000] loss: 1.843
[2023-08-27 21:03:20] PRINT [8,  2000] loss: 1.809
[2023-08-27 21:04:12] PRINT [8,  4000] loss: 1.781
[2023-08-27 21:05:03] PRINT [8,  6000] loss: 1.763
[2023-08-27 21:06:03] PRINT [9,  2000] loss: 1.741
[2023-08-27 21:06:55] PRINT [9,  4000] loss: 1.724
[2023-08-27 21:07:47] PRINT [9,  6000] loss: 1.708
[2023-08-27 21:08:47] PRINT [10,  2000] loss: 1.696
[2023-08-27 21:09:39] PRINT [10,  4000] loss: 1.682
[2023-08-27 21:10:31] PRINT [10,  6000] loss: 1.656
[2023-08-27 21:11:33] PRINT [11,  2000] loss: 1.656
[2023-08-27 21:12:26] PRINT [11,  4000] loss: 1.635
[2023-08-27 21:13:17] PRINT [11,  6000] loss: 1.624
[2023-08-27 21:14:17] PRINT [12,  2000] loss: 1.613
[2023-08-27 21:15:10] PRINT [12,  4000] loss: 1.602
[2023-08-27 21:16:00] PRINT [12,  6000] loss: 1.593
[2023-08-27 21:17:01] PRINT [13,  2000] loss: 1.573
[2023-08-27 21:17:52] PRINT [13,  4000] loss: 1.582
[2023-08-27 21:18:43] PRINT [13,  6000] loss: 1.559
[2023-08-27 21:19:44] PRINT [14,  2000] loss: 1.553
[2023-08-27 21:20:35] PRINT [14,  4000] loss: 1.566
[2023-08-27 21:21:27] PRINT [14,  6000] loss: 1.512
[2023-08-27 21:22:27] PRINT [15,  2000] loss: 1.535
[2023-08-27 21:23:18] PRINT [15,  4000] loss: 1.521
[2023-08-27 21:24:09] PRINT [15,  6000] loss: 1.514
[2023-08-27 21:25:10] PRINT [16,  2000] loss: 1.500
[2023-08-27 21:26:02] PRINT [16,  4000] loss: 1.491
[2023-08-27 21:26:53] PRINT [16,  6000] loss: 1.504
[2023-08-27 21:27:54] PRINT [17,  2000] loss: 1.492
[2023-08-27 21:28:46] PRINT [17,  4000] loss: 1.475
[2023-08-27 21:29:37] PRINT [17,  6000] loss: 1.470
[2023-08-27 21:30:38] PRINT [18,  2000] loss: 1.458
[2023-08-27 21:31:29] PRINT [18,  4000] loss: 1.458
[2023-08-27 21:32:21] PRINT [18,  6000] loss: 1.451
[2023-08-27 21:33:21] PRINT [19,  2000] loss: 1.450
[2023-08-27 21:34:12] PRINT [19,  4000] loss: 1.429
[2023-08-27 21:35:05] PRINT [19,  6000] loss: 1.432
[2023-08-27 21:36:05] PRINT [20,  2000] loss: 1.413
[2023-08-27 21:36:51] PRINT [20,  4000] loss: 1.420
[2023-08-27 21:37:49] PRINT [20,  6000] loss: 1.408
[2023-08-27 21:37:57] PRINT Finished Training
[2023-08-27 21:37:58] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 21:37:58] PRINT Predicted:  cat   ship  truck ship 
[2023-08-27 21:38:36] PRINT Accuracy of the network on the 10000 test images: 49 %
[2023-08-27 21:39:13] PRINT Accuracy for class: plane is 49.2 %
[2023-08-27 21:39:13] PRINT Accuracy for class: car   is 65.9 %
[2023-08-27 21:39:13] PRINT Accuracy for class: bird  is 31.2 %
[2023-08-27 21:39:13] PRINT Accuracy for class: cat   is 30.1 %
[2023-08-27 21:39:13] PRINT Accuracy for class: deer  is 27.4 %
[2023-08-27 21:39:13] PRINT Accuracy for class: dog   is 42.9 %
[2023-08-27 21:39:13] PRINT Accuracy for class: frog  is 65.0 %
[2023-08-27 21:39:13] PRINT Accuracy for class: horse is 60.3 %
[2023-08-27 21:39:13] PRINT Accuracy for class: ship  is 68.1 %
[2023-08-27 21:39:13] PRINT Accuracy for class: truck is 55.2 %
