[2023-08-27 22:48:59] PRINT cuda
[2023-08-27 22:48:59] PRINT {'lr': 0.00010003634695039757, 'momentum': 0.9906017291488118, 'batch_size': 8}
[2023-08-27 22:48:59] PRINT Files already downloaded and verified
[2023-08-27 22:49:00] PRINT Files already downloaded and verified
[2023-08-27 22:49:57] PRINT [1,  2000] loss: 2.222
[2023-08-27 22:50:44] PRINT [1,  4000] loss: 1.839
[2023-08-27 22:51:37] PRINT [1,  6000] loss: 1.631
[2023-08-27 22:52:39] PRINT [2,  2000] loss: 1.498
[2023-08-27 22:53:33] PRINT [2,  4000] loss: 1.423
[2023-08-27 22:54:27] PRINT [2,  6000] loss: 1.398
[2023-08-27 22:55:29] PRINT [3,  2000] loss: 1.319
[2023-08-27 22:56:23] PRINT [3,  4000] loss: 1.286
[2023-08-27 22:57:17] PRINT [3,  6000] loss: 1.254
[2023-08-27 22:58:20] PRINT [4,  2000] loss: 1.186
[2023-08-27 22:59:14] PRINT [4,  4000] loss: 1.189
[2023-08-27 23:00:07] PRINT [4,  6000] loss: 1.152
[2023-08-27 23:01:09] PRINT [5,  2000] loss: 1.123
[2023-08-27 23:02:03] PRINT [5,  4000] loss: 1.107
[2023-08-27 23:02:56] PRINT [5,  6000] loss: 1.100
[2023-08-27 23:03:58] PRINT [6,  2000] loss: 1.039
[2023-08-27 23:04:52] PRINT [6,  4000] loss: 1.055
[2023-08-27 23:05:46] PRINT [6,  6000] loss: 1.037
[2023-08-27 23:06:49] PRINT [7,  2000] loss: 0.977
[2023-08-27 23:07:42] PRINT [7,  4000] loss: 0.995
[2023-08-27 23:08:35] PRINT [7,  6000] loss: 0.995
[2023-08-27 23:09:39] PRINT [8,  2000] loss: 0.942
[2023-08-27 23:10:33] PRINT [8,  4000] loss: 0.945
[2023-08-27 23:11:26] PRINT [8,  6000] loss: 0.946
[2023-08-27 23:12:29] PRINT [9,  2000] loss: 0.878
[2023-08-27 23:13:22] PRINT [9,  4000] loss: 0.879
[2023-08-27 23:14:16] PRINT [9,  6000] loss: 0.913
[2023-08-27 23:15:18] PRINT [10,  2000] loss: 0.823
[2023-08-27 23:16:12] PRINT [10,  4000] loss: 0.865
[2023-08-27 23:17:06] PRINT [10,  6000] loss: 0.884
[2023-08-27 23:18:08] PRINT [11,  2000] loss: 0.786
[2023-08-27 23:19:02] PRINT [11,  4000] loss: 0.816
[2023-08-27 23:19:56] PRINT [11,  6000] loss: 0.830
[2023-08-27 23:20:58] PRINT [12,  2000] loss: 0.752
[2023-08-27 23:21:52] PRINT [12,  4000] loss: 0.790
[2023-08-27 23:22:45] PRINT [12,  6000] loss: 0.803
[2023-08-27 23:23:48] PRINT [13,  2000] loss: 0.719
[2023-08-27 23:24:43] PRINT [13,  4000] loss: 0.753
[2023-08-27 23:25:36] PRINT [13,  6000] loss: 0.769
[2023-08-27 23:26:38] PRINT [14,  2000] loss: 0.703
[2023-08-27 23:27:32] PRINT [14,  4000] loss: 0.727
[2023-08-27 23:28:25] PRINT [14,  6000] loss: 0.754
[2023-08-27 23:29:28] PRINT [15,  2000] loss: 0.639
[2023-08-27 23:30:22] PRINT [15,  4000] loss: 0.711
[2023-08-27 23:31:15] PRINT [15,  6000] loss: 0.729
[2023-08-27 23:32:18] PRINT [16,  2000] loss: 0.623
[2023-08-27 23:33:12] PRINT [16,  4000] loss: 0.700
[2023-08-27 23:34:06] PRINT [16,  6000] loss: 0.688
[2023-08-27 23:35:07] PRINT [17,  2000] loss: 0.607
[2023-08-27 23:36:00] PRINT [17,  4000] loss: 0.652
[2023-08-27 23:36:55] PRINT [17,  6000] loss: 0.687
[2023-08-27 23:37:59] PRINT [18,  2000] loss: 0.575
[2023-08-27 23:38:54] PRINT [18,  4000] loss: 0.628
[2023-08-27 23:39:47] PRINT [18,  6000] loss: 0.649
[2023-08-27 23:40:52] PRINT [19,  2000] loss: 0.568
[2023-08-27 23:41:45] PRINT [19,  4000] loss: 0.613
[2023-08-27 23:42:41] PRINT [19,  6000] loss: 0.636
[2023-08-27 23:43:47] PRINT [20,  2000] loss: 0.553
[2023-08-27 23:44:45] PRINT [20,  4000] loss: 0.582
[2023-08-27 23:45:40] PRINT [20,  6000] loss: 0.639
[2023-08-27 23:45:48] PRINT Finished Training
[2023-08-27 23:45:48] PRINT GroundTruth:  cat   ship  ship  plane
[2023-08-27 23:45:49] PRINT Predicted:  cat   car   car   ship 
[2023-08-27 23:46:27] PRINT Accuracy of the network on the 10000 test images: 61 %
[2023-08-27 23:47:05] PRINT Accuracy for class: plane is 69.4 %
[2023-08-27 23:47:05] PRINT Accuracy for class: car   is 80.3 %
[2023-08-27 23:47:05] PRINT Accuracy for class: bird  is 45.0 %
[2023-08-27 23:47:05] PRINT Accuracy for class: cat   is 48.3 %
[2023-08-27 23:47:05] PRINT Accuracy for class: deer  is 61.1 %
[2023-08-27 23:47:05] PRINT Accuracy for class: dog   is 50.6 %
[2023-08-27 23:47:05] PRINT Accuracy for class: frog  is 62.5 %
[2023-08-27 23:47:05] PRINT Accuracy for class: horse is 70.7 %
[2023-08-27 23:47:05] PRINT Accuracy for class: ship  is 74.2 %
[2023-08-27 23:47:05] PRINT Accuracy for class: truck is 55.4 %
